iso_time,chainlink_ts,binance_ts,binance_redis_ts,fair_value_redis_ts,time_to_expiry_ms,time_to_expiry_sec,strike_price,chainlink_price,binance_btcusdc_price,annualized_sigma_5m,annualized_sigma_10m,fair_value_sigma_5m,fair_value_sigma_10m,fair_value_deribit_iv,yes_bid,yes_ask,yes_execution_side,yes_exec_price_raw,yes_exec_price_fee_adj,taker_fee_rate,no_bid,no_ask,f_sigma_5m,g_sigma_5m,f_minus_g_sigma_5m,trade_signal_sigma_5m,f_sigma_10m,g_sigma_10m,f_minus_g_sigma_10m,trade_signal_sigma_10m,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,trade_signal_deribit_iv
2026-05-11T16:45:47.654Z,1778517946000,1778517947430,1778517947654,1778517947654,852346,852,81556.73,81622.35,81636.14,61.342994,102.585412,0.437857,0.395568,0.668295,0.630000,0.640000,buy,0.640000,0.651520,0.018000,0.360000,0.370000,-0.180803,,,0,-0.223092,,,0,0.016775,,,0
2026-05-11T16:45:48.253Z,1778517947000,1778517947430,1778517948253,1778517948253,851747,852,81556.73,81622.10,81636.14,61.342994,102.585412,0.437880,0.395604,0.667760,0.630000,0.640000,buy,0.640000,0.651520,0.018000,0.360000,0.370000,-0.180780,,,0,-0.223056,,,0,0.016240,,,0
2026-05-11T16:45:49.597Z,1778517948000,1778517949386,1778517949597,1778517949597,850403,850,81556.73,81621.99,81636.14,61.342994,102.585412,0.437930,0.395686,0.667616,0.630000,0.640000,buy,0.640000,0.651520,0.018000,0.360000,0.370000,-0.180730,,,0,-0.222974,,,0,0.016096,,,0
2026-05-11T16:45:50.857Z,1778517949000,1778517950409,1778517950857,1778517950857,849143,849,81556.73,81621.98,81636.14,61.342994,102.585412,0.437978,0.395762,0.667714,0.630000,0.640000,buy,0.640000,0.651520,0.018000,0.360000,0.370000,-0.180682,,,0,-0.222898,,,0,0.016194,,,0
2026-05-11T16:45:51.441Z,1778517950000,1778517951419,1778517951441,1778517951441,848559,849,81556.73,81622.02,81635.26,61.342994,102.585412,0.437987,0.395790,0.667873,0.630000,0.640000,buy,0.640000,0.651520,0.018000,0.360000,0.370000,-0.180673,,,0,-0.222870,,,0,0.016353,,,0
2026-05-11T16:45:52.055Z,1778517951000,1778517951419,1778517952055,1778517952055,847945,848,81556.73,81622.01,81635.26,61.342994,102.585412,0.438010,0.395827,0.667896,0.630000,0.640000,buy,0.640000,0.651520,0.018000,0.360000,0.370000,-0.180650,,,0,-0.222833,,,0,0.016376,,,0
2026-05-11T16:45:53.497Z,1778517952000,1778517953414,1778517953497,1778517953497,846503,847,81556.73,81620.62,81632.08,61.342994,102.585412,0.438016,0.395887,0.664653,0.630000,0.640000,buy,0.640000,0.651520,0.018000,0.360000,0.370000,-0.180644,,,0,-0.222773,,,0,0.013133,,,0
2026-05-11T16:45:54.639Z,1778517953000,1778517954414,1778517954639,1778517954639,845361,845,81556.73,81618.56,81632.08,61.342994,102.585412,0.438059,0.395956,0.659738,0.630000,0.640000,buy,0.640000,0.651520,0.018000,0.360000,0.370000,-0.180601,,,0,-0.222704,,,0,0.008218,,,0
2026-05-11T16:45:55.264Z,1778517954000,1778517954414,1778517955264,1778517955264,844736,845,81556.73,81618.01,81632.08,61.342994,102.585412,0.438082,0.395994,0.658459,0.630000,0.640000,buy,0.640000,0.651520,0.018000,0.360000,0.370000,-0.180578,,,0,-0.222666,,,0,0.006939,,,0
2026-05-11T16:45:56.602Z,1778517955000,1778517956427,1778517956602,1778517956602,843398,843,81556.73,81617.88,81631.24,61.342994,102.585412,0.438120,0.396068,0.658247,0.620000,0.630000,buy,0.630000,0.641340,0.018000,0.370000,0.380000,-0.170720,,,0,-0.212772,,,0,0.016907,,,0
