iso_time,chainlink_ts,binance_ts,binance_redis_ts,fair_value_redis_ts,time_to_expiry_ms,time_to_expiry_sec,strike_price,chainlink_price,binance_btcusdc_price,annualized_sigma_5m,annualized_sigma_10m,fair_value_sigma_5m,fair_value_sigma_10m,fair_value_deribit_iv,yes_bid,yes_ask,no_bid,no_ask,f_sigma_5m,g_sigma_5m,f_minus_g_sigma_5m,trade_signal_sigma_5m,f_sigma_10m,g_sigma_10m,f_minus_g_sigma_10m,trade_signal_sigma_10m,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,trade_signal_deribit_iv
2026-05-06T08:15:14.607Z,1778055313000,1778055314417,1778055314607,1778055314607,885393,885,81548.53,81543.36,81555.60,0.250528,0.265161,0.525746,0.524297,0.486808,0.440000,0.450000,0.550000,0.560000,0.075746,,,0,0.074297,,,0,0.036808,,,0
2026-05-06T08:15:15.208Z,1778055314000,1778055314417,1778055315208,1778055315208,884792,885,81548.53,81541.60,81555.60,0.250528,0.265161,0.525754,0.524305,0.482469,0.440000,0.450000,0.550000,0.560000,0.075754,,,0,0.074305,,,0,0.032469,,,0
2026-05-06T08:15:16.237Z,1778055315000,1778055315302,1778055316237,1778055316237,883763,884,81548.53,81540.76,81555.60,0.250528,0.265161,0.525770,0.524319,0.480372,0.440000,0.450000,0.550000,0.560000,0.075770,,,0,0.074319,,,0,0.030372,,,0
2026-05-06T08:15:16.815Z,1778055315000,1778055316418,1778055316815,1778055316815,883185,883,81548.53,81540.76,81551.74,0.250528,0.265161,0.511589,0.510920,0.480366,0.430000,0.450000,0.550000,0.570000,0.061589,,,0,0.060920,,,0,0.030366,,,0
2026-05-06T08:15:17.505Z,1778055316000,1778055317419,1778055317505,1778055317505,882495,882,81548.53,81540.78,81551.01,0.250528,0.265161,0.508900,0.508379,0.480403,0.430000,0.450000,0.550000,0.570000,0.058900,,,0,0.058379,,,0,0.030403,,,0
2026-05-06T08:15:17.700Z,1778055316000,1778055317419,1778055317700,1778055317700,882300,882,81548.53,81540.78,81551.01,0.250528,0.265161,0.508901,0.508380,0.480401,0.430000,0.440000,0.560000,0.570000,0.068901,,,0,0.068380,,,0,0.040401,,,0
2026-05-06T08:15:18.455Z,1778055317000,1778055318404,1778055318455,1778055318455,881545,882,81548.53,81540.75,81550.74,0.250528,0.265161,0.507872,0.507407,0.480340,0.420000,0.430000,0.570000,0.580000,0.077872,,,0,0.077407,,,0,0.050340,,,0
2026-05-06T08:15:19.226Z,1778055318000,1778055318404,1778055319226,1778055319226,880774,881,81548.53,81539.71,81550.74,0.250528,0.265161,0.507875,0.507411,0.477737,0.420000,0.430000,0.570000,0.580000,0.077875,,,0,0.077411,,,0,0.047737,,,0
2026-05-06T08:15:20.384Z,1778055319000,1778055319298,1778055320384,1778055320384,879616,880,81548.53,81539.63,81550.74,0.250528,0.265161,0.507881,0.507416,0.477535,0.420000,0.430000,0.570000,0.580000,0.077881,,,0,0.077416,,,0,0.047535,,,0
2026-05-06T08:15:21.063Z,1778055320000,1778055320383,1778055321063,1778055321063,878937,879,81548.53,81539.60,81550.74,0.250528,0.265161,0.507884,0.507419,0.477439,0.420000,0.430000,0.570000,0.580000,0.077884,,,0,0.077419,,,0,0.047439,,,0
2026-05-06T08:15:21.534Z,1778055320000,1778055321356,1778055321534,1778055321534,878466,878,81548.53,81539.60,81550.74,0.250528,0.265161,0.507886,0.507421,0.477433,0.420000,0.440000,0.560000,0.580000,0.067886,0.072817,-0.004931,0,0.067421,0.072025,-0.004604,0,0.037433,0.039387,-0.001954,0
2026-05-06T08:15:22.827Z,1778055321000,1778055322385,1778055322827,1778055322827,877173,877,81548.53,81539.61,81550.74,0.250528,0.265161,0.507892,0.507427,0.477465,0.420000,0.440000,0.560000,0.580000,0.067892,0.072031,-0.004139,0,0.067427,0.071338,-0.003911,0,0.037465,0.039450,-0.001984,0
2026-05-06T08:15:23.353Z,1778055322000,1778055322385,1778055323353,1778055323353,876647,877,81548.53,81539.76,81550.74,0.250528,0.265161,0.507895,0.507429,0.477818,0.420000,0.440000,0.560000,0.580000,0.067895,0.071245,-0.003350,0,0.067429,0.070650,-0.003221,0,0.037818,0.039949,-0.002131,0
2026-05-06T08:15:24.666Z,1778055323000,1778055324362,1778055324666,1778055324666,875334,875,81548.53,81538.16,81550.74,0.250528,0.265161,0.507901,0.507435,0.473830,0.420000,0.440000,0.560000,0.580000,0.067901,0.070458,-0.002556,0,0.067435,0.069961,-0.002526,0,0.033830,0.040694,-0.006864,0
2026-05-06T08:15:25.319Z,1778055324000,1778055324362,1778055325319,1778055325319,874681,875,81548.53,81538.16,81550.74,0.250528,0.265161,0.507904,0.507438,0.473820,0.420000,0.440000,0.560000,0.580000,0.067904,0.071089,-0.003184,0,0.067438,0.070613,-0.003174,0,0.033820,0.041040,-0.007220,0
2026-05-06T08:15:26.588Z,1778055325000,1778055326431,1778055326588,1778055326588,873412,873,81548.53,81538.00,81550.74,0.250528,0.265161,0.507911,0.507444,0.473400,0.420000,0.430000,0.570000,0.580000,0.077911,0.071989,0.005921,0,0.077444,0.071518,0.005926,0,0.043400,0.041382,0.002018,0
2026-05-06T08:15:26.648Z,1778055325000,1778055326431,1778055326648,1778055326648,873352,873,81548.53,81538.00,81550.74,0.250528,0.265161,0.507911,0.507445,0.473399,0.430000,0.440000,0.560000,0.570000,0.067911,0.072890,-0.004979,0,0.067445,0.072425,-0.004980,0,0.033399,0.041682,-0.008282,0
2026-05-06T08:15:27.295Z,1778055326000,1778055326431,1778055327295,1778055327295,872705,873,81548.53,81538.00,81550.74,0.250528,0.265161,0.507914,0.507447,0.473390,0.430000,0.440000,0.560000,0.570000,0.067914,0.071894,-0.003980,0,0.067447,0.071429,-0.003981,0,0.033390,0.039988,-0.006598,0
2026-05-06T08:15:28.508Z,1778055327000,1778055328399,1778055328508,1778055328508,871492,871,81548.53,81537.65,81550.74,0.250528,0.265161,0.507920,0.507453,0.472499,0.430000,0.440000,0.560000,0.570000,0.067920,0.070898,-0.002978,0,0.067453,0.070432,-0.002979,0,0.032499,0.038553,-0.006054,0
2026-05-06T08:15:29.139Z,1778055328000,1778055328399,1778055329139,1778055329139,870861,871,81548.53,81537.75,81550.74,0.250528,0.265161,0.507923,0.507456,0.472745,0.430000,0.440000,0.560000,0.570000,0.067923,0.069902,-0.001979,0,0.067456,0.069436,-0.001980,0,0.032745,0.037049,-0.004304,0
2026-05-06T08:15:30.444Z,1778055329000,1778055329354,1778055330444,1778055330444,869556,870,81548.53,81537.50,81550.74,0.250528,0.265161,0.507929,0.507462,0.472094,0.430000,0.440000,0.560000,0.570000,0.067929,0.068906,-0.000977,0,0.067462,0.068440,-0.000978,0,0.032094,0.035580,-0.003486,0
2026-05-06T08:15:31.037Z,1778055330000,1778055329354,1778055331037,1778055331037,868963,869,81548.53,81537.45,81550.74,0.250528,0.265161,0.507932,0.507465,0.471970,0.430000,0.440000,0.560000,0.570000,0.067932,0.068910,-0.000978,0,0.067465,0.068444,-0.000979,0,0.031970,0.035046,-0.003076,0
2026-05-06T08:15:32.223Z,1778055331000,1778055331383,1778055332223,1778055332223,867777,868,81548.53,81537.49,81550.74,0.250528,0.265161,0.507938,0.507470,0.472047,0.430000,0.440000,0.560000,0.570000,0.067938,0.068914,-0.000976,0,0.067470,0.068448,-0.000977,0,0.032047,0.034497,-0.002449,0
2026-05-06T08:15:33.482Z,1778055332000,1778055331383,1778055333482,1778055333482,866518,867,81548.53,81537.53,81550.74,0.250528,0.265161,0.507944,0.507476,0.472136,0.430000,0.440000,0.560000,0.570000,0.067944,0.068918,-0.000974,0,0.067476,0.068452,-0.000976,0,0.032136,0.033920,-0.001784,0
2026-05-06T08:15:34.112Z,1778055333000,1778055331383,1778055334112,1778055334112,865888,866,81548.53,81537.56,81550.74,0.250528,0.265161,0.507947,0.507479,0.472209,0.430000,0.440000,0.560000,0.570000,0.067947,0.068923,-0.000975,0,0.067479,0.068456,-0.000977,0,0.032209,0.033750,-0.001541,0
2026-05-06T08:15:35.395Z,1778055334000,1778055334424,1778055335395,1778055335395,864605,865,81548.53,81537.55,81550.74,0.250528,0.265161,0.507953,0.507485,0.472148,0.430000,0.440000,0.560000,0.570000,0.067953,0.068927,-0.000973,0,0.067485,0.068460,-0.000975,0,0.032148,0.033589,-0.001441,0
2026-05-06T08:15:35.945Z,1778055335000,1778055334424,1778055335945,1778055335945,864055,864,81548.53,81537.54,81550.74,0.250528,0.265161,0.507956,0.507487,0.472127,0.430000,0.440000,0.560000,0.570000,0.067956,0.067931,0.000025,0,0.067487,0.067464,0.000024,0,0.032127,0.032464,-0.000336,0
2026-05-06T08:15:36.509Z,1778055335000,1778055336428,1778055336509,1778055336509,863491,863,81548.53,81537.54,81550.74,0.250528,0.265161,0.507959,0.507490,0.472119,0.430000,0.500000,0.500000,0.570000,0.007959,0.067936,-0.059977,0,0.007490,0.067468,-0.059978,0,-0.027881,0.032337,-0.060218,0
2026-05-06T08:15:36.918Z,1778055335000,1778055336428,1778055336918,1778055336918,863082,863,81548.53,81537.54,81550.74,0.250528,0.265161,0.507961,0.507492,0.472112,0.450000,0.460000,0.540000,0.550000,0.047961,0.061940,-0.013979,0,0.047492,0.061472,-0.013980,0,0.012112,0.026210,-0.014097,0
2026-05-06T08:15:37.384Z,1778055336000,1778055336428,1778055337384,1778055337384,862616,863,81548.53,81537.55,81550.74,0.250528,0.265161,0.507963,0.507494,0.472110,0.450000,0.460000,0.540000,0.550000,0.047963,0.059944,-0.011981,0,0.047494,0.059476,-0.011982,0,0.012110,0.024171,-0.012061,0
2026-05-06T08:15:38.409Z,1778055337000,1778055336428,1778055338409,1778055338409,861591,862,81548.53,81537.51,81550.74,0.250528,0.265161,0.507968,0.507499,0.471998,0.450000,0.460000,0.540000,0.550000,0.047968,0.057948,-0.009980,0,0.047499,0.057480,-0.009981,0,0.011998,0.022107,-0.010109,0
2026-05-06T08:15:39.371Z,1778055338000,1778055338411,1778055339371,1778055339371,860629,861,81548.53,81537.54,81550.74,0.250528,0.265161,0.507973,0.507503,0.472054,0.450000,0.460000,0.540000,0.550000,0.047973,0.055952,-0.007979,0,0.047503,0.055484,-0.007980,0,0.012054,0.020098,-0.008044,0
2026-05-06T08:15:40.367Z,1778055339000,1778055339388,1778055340367,1778055340367,859633,860,81548.53,81537.54,81550.74,0.250528,0.265161,0.507978,0.507508,0.472038,0.450000,0.460000,0.540000,0.550000,0.047978,0.053956,-0.005978,0,0.047508,0.053488,-0.005980,0,0.012038,0.018106,-0.006068,0
2026-05-06T08:15:41.337Z,1778055340000,1778055339388,1778055341337,1778055341337,858663,859,81548.53,81537.53,81550.74,0.250528,0.265161,0.507983,0.507513,0.472020,0.450000,0.460000,0.540000,0.550000,0.047983,0.051960,-0.003978,0,0.047513,0.051491,-0.003979,0,0.012020,0.016105,-0.004085,0
2026-05-06T08:15:42.384Z,1778055341000,1778055341296,1778055342384,1778055342384,857616,858,81548.53,81537.53,81550.74,0.250528,0.265161,0.507988,0.507518,0.472004,0.450000,0.460000,0.540000,0.550000,0.047988,0.049964,-0.001976,0,0.047518,0.049495,-0.001977,0,0.012004,0.014094,-0.002089,0
2026-05-06T08:15:43.276Z,1778055342000,1778055342413,1778055343276,1778055343276,856724,857,81548.53,81537.52,81550.74,0.250528,0.265161,0.507992,0.507522,0.471957,0.450000,0.460000,0.540000,0.550000,0.047992,0.047968,0.000024,0,0.047522,0.047499,0.000023,0,0.011957,0.012073,-0.000116,0
2026-05-06T08:15:44.365Z,1778055343000,1778055343377,1778055344365,1778055344365,855635,856,81548.53,81538.83,81550.74,0.250528,0.265161,0.507998,0.507527,0.475213,0.450000,0.460000,0.540000,0.550000,0.047998,0.045972,0.002026,0,0.047527,0.045503,0.002024,0,0.015213,0.010054,0.005159,0
2026-05-06T08:15:45.460Z,1778055344000,1778055345308,1778055345460,1778055345460,854540,855,81548.53,81538.31,81550.74,0.250528,0.265161,0.508003,0.507532,0.473893,0.450000,0.460000,0.540000,0.550000,0.048003,0.043976,0.004027,0,0.047532,0.043507,0.004026,0,0.013893,0.008363,0.005531,0
2026-05-06T08:15:45.891Z,1778055345000,1778055345308,1778055345891,1778055345891,854109,854,81548.53,81538.16,81550.74,0.250528,0.265161,0.508005,0.507534,0.473525,0.450000,0.460000,0.540000,0.550000,0.048005,0.047981,0.000025,0,0.047534,0.047511,0.000023,0,0.013525,0.012540,0.000985,0
2026-05-06T08:15:46.913Z,1778055346000,1778055346339,1778055346913,1778055346913,853087,853,81548.53,81538.18,81550.74,0.250528,0.265161,0.508010,0.507539,0.473545,0.450000,0.460000,0.540000,0.550000,0.048010,0.047985,0.000025,0,0.047539,0.047515,0.000024,0,0.013545,0.012681,0.000863,0
2026-05-06T08:15:47.933Z,1778055347000,1778055346339,1778055347933,1778055347933,852067,852,81548.53,81538.16,81550.74,0.250528,0.265161,0.508016,0.507544,0.473490,0.450000,0.460000,0.540000,0.550000,0.048016,0.047990,0.000026,0,0.047544,0.047519,0.000024,0,0.013490,0.012825,0.000665,0
2026-05-06T08:15:49.054Z,1778055348000,1778055346339,1778055349054,1778055349054,850946,851,81548.53,81538.75,81550.74,0.250528,0.265161,0.508021,0.507549,0.474952,0.450000,0.460000,0.540000,0.550000,0.048021,0.047995,0.000027,0,0.047549,0.047524,0.000025,0,0.014952,0.012974,0.001978,0
