iso_time,ts,published_at,fair_value,confidence,sigma,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g
2026-04-17T09:21:10.165Z,1776417670165,1776417670165,0.044167,0.529835,0.000035,75810.60,75810.60,75913.50,0.170000,0.180000,0.820000,0.830000,529835,530,0.180000,-0.135833,-0.141097,0.005264
2026-04-17T09:21:10.329Z,1776417670329,1776417670329,0.078556,0.529671,0.000046,75801.07,75801.07,75913.50,0.170000,0.180000,0.820000,0.830000,529671,530,0.180000,-0.101444,-0.132147,0.030703
2026-04-17T09:21:10.560Z,1776417670560,1776417670560,0.078511,0.529440,0.000046,75801.07,75801.07,75913.50,0.160000,0.180000,0.820000,0.840000,529440,529,0.180000,-0.101489,-0.125205,0.023716
2026-04-17T09:21:10.697Z,1776417670697,1776417670697,0.078484,0.529303,0.000046,75801.07,75801.07,75913.50,0.160000,0.170000,0.830000,0.840000,529303,529,0.170000,-0.091516,-0.115195,0.023679
2026-04-17T09:21:11.603Z,1776417671603,1776417671603,0.070751,0.528397,0.000044,75800.04,75800.04,75913.50,0.160000,0.170000,0.830000,0.840000,528397,528,0.170000,-0.099249,-0.105906,0.006657
2026-04-17T09:21:12.303Z,1776417672303,1776417672303,0.063287,0.527697,0.000043,75798.43,75798.43,75913.50,0.160000,0.170000,0.830000,0.840000,527697,528,0.170000,-0.106713,-0.100082,-0.006631
2026-04-17T09:21:13.424Z,1776417673424,1776417673424,0.056230,0.526576,0.000042,75797.16,75797.16,75913.50,0.160000,0.170000,0.830000,0.840000,526576,527,0.170000,-0.113770,-0.102547,-0.011222
2026-04-17T09:21:14.575Z,1776417674575,1776417674575,0.050098,0.525425,0.000041,75796.74,75796.74,75913.50,0.160000,0.170000,0.830000,0.840000,525425,525,0.170000,-0.119902,-0.106230,-0.013672
2026-04-17T09:21:15.148Z,1776417675148,1776417675148,0.053012,0.524852,0.000041,75799.49,75799.49,75913.50,0.160000,0.170000,0.830000,0.840000,524852,525,0.170000,-0.116988,-0.111324,-0.005664
2026-04-17T09:21:16.307Z,1776417676307,1776417676307,0.046645,0.523693,0.000040,75798.02,75798.02,75913.50,0.160000,0.170000,0.830000,0.840000,523693,524,0.170000,-0.123355,-0.116146,-0.007209
2026-04-17T09:21:17.628Z,1776417677628,1776417677628,0.042894,0.522372,0.000039,75798.79,75798.79,75913.50,0.160000,0.170000,0.830000,0.840000,522372,522,0.170000,-0.127106,-0.120224,-0.006882
2026-04-17T09:21:18.564Z,1776417678564,1776417678564,0.038926,0.521436,0.000037,75799.33,75799.33,75913.50,0.160000,0.170000,0.830000,0.840000,521436,521,0.170000,-0.131074,-0.123685,-0.007389
2026-04-17T09:21:19.103Z,1776417679103,1776417679103,0.034573,0.520897,0.000036,75799.46,75799.46,75913.50,0.160000,0.170000,0.830000,0.840000,520897,521,0.170000,-0.135427,-0.126790,-0.008637
2026-04-17T09:21:20.170Z,1776417680170,1776417680170,0.030810,0.519830,0.000035,75799.84,75799.84,75913.50,0.160000,0.170000,0.830000,0.840000,519830,520,0.170000,-0.139190,-0.131230,-0.007959
2026-04-17T09:21:21.142Z,1776417681142,1776417681142,0.026920,0.518858,0.000034,75799.92,75799.92,75913.50,0.160000,0.170000,0.830000,0.840000,518858,519,0.170000,-0.143080,-0.135176,-0.007905
2026-04-17T09:21:21.641Z,1776417681641,1776417681641,0.026862,0.518359,0.000034,75799.92,75799.92,75913.50,0.170000,0.200000,0.800000,0.830000,518359,518,0.200000,-0.173138,-0.144382,-0.028756
2026-04-17T09:21:21.912Z,1776417681912,1776417681912,0.026831,0.518088,0.000034,75799.92,75799.92,75913.50,0.200000,0.210000,0.790000,0.800000,518088,518,0.210000,-0.183169,-0.154801,-0.028368
2026-04-17T09:21:22.230Z,1776417682230,1776417682230,0.022996,0.517770,0.000033,75799.59,75799.59,75913.50,0.200000,0.210000,0.790000,0.800000,517770,518,0.210000,-0.187004,-0.165116,-0.021888
2026-04-17T09:21:23.217Z,1776417683217,1776417683217,0.056789,0.516783,0.000039,75806.57,75806.57,75913.50,0.200000,0.210000,0.790000,0.800000,516783,517,0.210000,-0.153211,-0.167921,0.014709
2026-04-17T09:21:24.247Z,1776417684247,1776417684247,0.067091,0.515753,0.000040,75810.40,75810.40,75913.50,0.200000,0.210000,0.790000,0.800000,515753,516,0.210000,-0.142909,-0.167886,0.024977
2026-04-17T09:21:25.290Z,1776417685290,1776417685290,0.061202,0.514710,0.000039,75810.50,75810.50,75913.50,0.200000,0.210000,0.790000,0.800000,514710,515,0.210000,-0.148798,-0.163018,0.014221
2026-04-17T09:21:26.406Z,1776417686406,1776417686406,0.056499,0.513594,0.000038,75811.05,75811.05,75913.50,0.200000,0.210000,0.790000,0.800000,513594,514,0.210000,-0.153501,-0.157085,0.003584
2026-04-17T09:21:27.312Z,1776417687312,1776417687312,0.050912,0.512688,0.000036,75811.05,75811.05,75913.50,0.200000,0.210000,0.790000,0.800000,512688,513,0.210000,-0.159088,-0.151501,-0.007586
2026-04-17T09:21:28.355Z,1776417688355,1776417688355,0.053036,0.511645,0.000036,75813.34,75813.34,75913.50,0.200000,0.210000,0.790000,0.800000,511645,512,0.210000,-0.156964,-0.152252,-0.004712
2026-04-17T09:21:29.435Z,1776417689435,1776417689435,0.050719,0.510565,0.000035,75814.56,75814.56,75913.50,0.200000,0.210000,0.790000,0.800000,510565,511,0.210000,-0.159281,-0.155526,-0.003755
2026-04-17T09:21:30.424Z,1776417690424,1776417690424,0.051617,0.509576,0.000035,75816.53,75816.53,75913.50,0.200000,0.210000,0.790000,0.800000,509576,510,0.210000,-0.158383,-0.157443,-0.000939
2026-04-17T09:21:31.844Z,1776417691844,1776417691844,0.046980,0.508156,0.000034,75816.93,75816.93,75913.50,0.200000,0.210000,0.790000,0.800000,508156,508,0.210000,-0.163020,-0.159347,-0.003673
2026-04-17T09:21:32.387Z,1776417692387,1776417692387,0.043952,0.507613,0.000033,75817.80,75817.80,75913.50,0.200000,0.210000,0.790000,0.800000,507613,508,0.210000,-0.166048,-0.160739,-0.005309
2026-04-17T09:21:33.397Z,1776417693397,1776417693397,0.039216,0.506603,0.000032,75817.90,75817.90,75913.50,0.200000,0.210000,0.790000,0.800000,506603,507,0.210000,-0.170784,-0.163503,-0.007281
2026-04-17T09:21:34.009Z,1776417694009,1776417694009,0.034666,0.505991,0.000031,75817.90,75817.90,75913.50,0.200000,0.210000,0.790000,0.800000,505991,506,0.210000,-0.175334,-0.166714,-0.008620
2026-04-17T09:21:35.057Z,1776417695057,1776417695057,0.030390,0.504943,0.000030,75817.91,75817.91,75913.50,0.200000,0.210000,0.790000,0.800000,504943,505,0.210000,-0.179610,-0.170959,-0.008650
2026-04-17T09:21:36.080Z,1776417696080,1776417696080,0.026307,0.503920,0.000029,75817.80,75817.80,75913.50,0.200000,0.210000,0.790000,0.800000,503920,504,0.210000,-0.183693,-0.175094,-0.008599
2026-04-17T09:21:37.211Z,1776417697211,1776417697211,0.022685,0.502789,0.000028,75817.80,75817.80,75913.50,0.200000,0.210000,0.790000,0.800000,502789,503,0.210000,-0.187315,-0.179347,-0.007968
2026-04-17T09:21:38.030Z,1776417698030,1776417698030,0.019426,0.501970,0.000027,75817.80,75817.80,75913.50,0.200000,0.210000,0.790000,0.800000,501970,502,0.210000,-0.190574,-0.183305,-0.007269
2026-04-17T09:21:38.972Z,1776417698972,1776417698972,0.016477,0.501028,0.000026,75817.80,75817.80,75913.50,0.200000,0.210000,0.790000,0.800000,501028,501,0.210000,-0.193523,-0.186943,-0.006580
2026-04-17T09:21:39.988Z,1776417699988,1776417699988,0.013608,0.500012,0.000026,75817.38,75817.38,75913.50,0.200000,0.210000,0.790000,0.800000,500012,500,0.210000,-0.196392,-0.190299,-0.006093
2026-04-17T09:21:40.988Z,1776417700988,1776417700988,0.011294,0.499012,0.000025,75817.37,75817.37,75913.50,0.200000,0.210000,0.790000,0.800000,499012,499,0.210000,-0.198706,-0.193302,-0.005404
2026-04-17T09:21:42.146Z,1776417702146,1776417702146,0.010000,0.497854,0.000024,75817.37,75817.37,75913.50,0.200000,0.210000,0.790000,0.800000,497854,498,0.210000,-0.200000,-0.195839,-0.004161
2026-04-17T09:21:43.191Z,1776417703191,1776417703191,0.010000,0.496809,0.000024,75817.37,75817.37,75913.50,0.190000,0.200000,0.800000,0.810000,496809,497,0.200000,-0.190000,-0.195724,0.005724
2026-04-17T09:21:43.206Z,1776417703206,1776417703206,0.010000,0.496794,0.000023,75817.38,75817.38,75913.50,0.190000,0.200000,0.800000,0.810000,496794,497,0.200000,-0.190000,-0.195020,0.005020
2026-04-17T09:21:44.169Z,1776417704169,1776417704169,0.010000,0.495831,0.000023,75817.38,75817.38,75913.50,0.190000,0.200000,0.800000,0.810000,495831,496,0.200000,-0.190000,-0.193741,0.003741
2026-04-17T09:21:45.153Z,1776417705153,1776417705153,0.010000,0.494847,0.000022,75817.38,75817.38,75913.50,0.190000,0.200000,0.800000,0.810000,494847,495,0.200000,-0.190000,-0.192000,0.002000
2026-04-17T09:21:46.401Z,1776417706401,1776417706401,0.010000,0.493599,0.000021,75817.38,75817.38,75913.50,0.190000,0.200000,0.800000,0.810000,493599,494,0.200000,-0.190000,-0.190000,0.000000
2026-04-17T09:21:47.089Z,1776417707089,1776417707089,0.010000,0.492911,0.000021,75817.38,75817.38,75913.50,0.190000,0.200000,0.800000,0.810000,492911,493,0.200000,-0.190000,-0.190000,0.000000
2026-04-17T09:21:48.243Z,1776417708243,1776417708243,0.010000,0.491757,0.000020,75817.38,75817.38,75913.50,0.190000,0.200000,0.800000,0.810000,491757,492,0.200000,-0.190000,-0.190000,0.000000
2026-04-17T09:21:49.390Z,1776417709390,1776417709390,0.010000,0.490610,0.000019,75817.80,75817.80,75913.50,0.190000,0.200000,0.800000,0.810000,490610,491,0.200000,-0.190000,-0.190000,0.000000
2026-04-17T09:21:50.560Z,1776417710560,1776417710560,0.010000,0.489440,0.000019,75817.80,75817.80,75913.50,0.190000,0.200000,0.800000,0.810000,489440,489,0.200000,-0.190000,-0.190000,0.000000
2026-04-17T09:21:51.182Z,1776417711182,1776417711182,0.010000,0.488818,0.000018,75817.80,75817.80,75913.50,0.190000,0.200000,0.800000,0.810000,488818,489,0.200000,-0.190000,-0.190000,0.000000
2026-04-17T09:21:52.371Z,1776417712371,1776417712371,0.010000,0.487629,0.000022,75821.78,75821.78,75913.50,0.190000,0.200000,0.800000,0.810000,487629,488,0.200000,-0.190000,-0.190000,0.000000
2026-04-17T09:21:53.370Z,1776417713370,1776417713370,0.010000,0.486630,0.000021,75822.47,75822.47,75913.50,0.190000,0.200000,0.800000,0.810000,486630,487,0.200000,-0.190000,-0.190000,0.000000
2026-04-17T09:21:54.533Z,1776417714533,1776417714533,0.046625,0.485467,0.000030,75829.21,75829.21,75913.50,0.190000,0.200000,0.800000,0.810000,485467,485,0.200000,-0.153375,-0.182675,0.029300
2026-04-17T09:21:54.977Z,1776417714977,1776417714977,0.042889,0.485023,0.000029,75829.74,75829.74,75913.50,0.190000,0.200000,0.800000,0.810000,485023,485,0.200000,-0.157111,-0.176097,0.018986
2026-04-17T09:21:54.987Z,1776417714987,1776417714987,0.042888,0.485013,0.000029,75829.74,75829.74,75913.50,0.190000,0.210000,0.790000,0.810000,485013,485,0.210000,-0.167112,-0.171520,0.004407
2026-04-17T09:21:56.067Z,1776417716067,1776417716067,0.038595,0.483933,0.000028,75830.02,75830.02,75913.50,0.190000,0.210000,0.790000,0.810000,483933,484,0.210000,-0.171405,-0.167801,-0.003605
2026-04-17T09:21:56.995Z,1776417716995,1776417716995,0.038453,0.483005,0.000028,75830.02,75830.02,75913.50,0.200000,0.210000,0.790000,0.800000,483005,483,0.210000,-0.171547,-0.164110,-0.007437
2026-04-17T09:21:57.172Z,1776417717172,1776417717172,0.038557,0.482828,0.000028,75831.47,75831.47,75913.50,0.200000,0.210000,0.790000,0.800000,482828,483,0.210000,-0.171443,-0.167724,-0.003720
2026-04-17T09:21:58.430Z,1776417718430,1776417718430,0.034229,0.481570,0.000027,75831.62,75831.62,75913.50,0.200000,0.210000,0.790000,0.800000,481570,482,0.210000,-0.175771,-0.171456,-0.004315
2026-04-17T09:21:58.877Z,1776417718877,1776417718877,0.034165,0.481123,0.000027,75831.62,75831.62,75913.50,0.200000,0.220000,0.780000,0.800000,481123,481,0.220000,-0.185835,-0.175200,-0.010635
2026-04-17T09:21:58.975Z,1776417718975,1776417718975,0.034151,0.481025,0.000027,75831.62,75831.62,75913.50,0.210000,0.220000,0.780000,0.790000,481025,481,0.220000,-0.185849,-0.178089,-0.007760
2026-04-17T09:22:00.083Z,1776417720083,1776417720083,0.031387,0.479917,0.000026,75832.38,75832.38,75913.50,0.210000,0.220000,0.780000,0.790000,479917,480,0.220000,-0.188613,-0.181502,-0.007111
2026-04-17T09:22:01.287Z,1776417721287,1776417721287,0.078398,0.478713,0.000032,75838.38,75838.38,75913.50,0.210000,0.220000,0.780000,0.790000,478713,479,0.220000,-0.141602,-0.175534,0.033932
2026-04-17T09:22:02.544Z,1776417722544,1776417722544,0.070722,0.477456,0.000032,75836.44,75836.44,75913.50,0.210000,0.220000,0.780000,0.790000,477456,477,0.220000,-0.149278,-0.170235,0.020958
2026-04-17T09:22:03.453Z,1776417723453,1776417723453,0.065640,0.476547,0.000032,75833.65,75833.65,75913.50,0.210000,0.220000,0.780000,0.790000,476547,477,0.220000,-0.154360,-0.163940,0.009580
2026-04-17T09:22:03.930Z,1776417723930,1776417723930,0.065543,0.476070,0.000032,75833.65,75833.65,75913.50,0.200000,0.210000,0.790000,0.800000,476070,476,0.210000,-0.144457,-0.155662,0.011205
2026-04-17T09:22:03.975Z,1776417723975,1776417723975,0.065534,0.476025,0.000032,75833.65,75833.65,75913.50,0.190000,0.210000,0.790000,0.810000,476025,476,0.210000,-0.144466,-0.146833,0.002367
2026-04-17T09:22:04.023Z,1776417724023,1776417724023,0.065524,0.475977,0.000032,75833.65,75833.65,75913.50,0.190000,0.200000,0.800000,0.810000,475977,476,0.200000,-0.134476,-0.145407,0.010932
2026-04-17T09:22:04.052Z,1776417724052,1776417724052,0.059682,0.475948,0.000031,75833.65,75833.65,75913.50,0.190000,0.200000,0.800000,0.810000,475948,476,0.200000,-0.140318,-0.143615,0.003297
2026-04-17T09:22:05.268Z,1776417725268,1776417725268,0.053051,0.474732,0.000030,75833.17,75833.17,75913.50,0.190000,0.200000,0.800000,0.810000,474732,475,0.200000,-0.146949,-0.142133,-0.004816
2026-04-17T09:22:05.513Z,1776417725513,1776417725513,0.053006,0.474487,0.000030,75833.17,75833.17,75913.50,0.180000,0.190000,0.810000,0.820000,474487,474,0.190000,-0.136994,-0.140641,0.003646
2026-04-17T09:22:06.681Z,1776417726681,1776417726681,0.098885,0.473319,0.000042,75823.70,75823.70,75913.50,0.180000,0.190000,0.810000,0.820000,473319,473,0.190000,-0.091115,-0.129971,0.038855
2026-04-17T09:22:06.800Z,1776417726800,1776417726800,0.098857,0.473200,0.000042,75823.70,75823.70,75913.50,0.170000,0.190000,0.810000,0.830000,473200,473,0.190000,-0.091143,-0.121304,0.030161
2026-04-17T09:22:07.262Z,1776417727262,1776417727262,0.091229,0.472738,0.000041,75823.40,75823.40,75913.50,0.170000,0.190000,0.810000,0.830000,472738,473,0.190000,-0.098771,-0.112995,0.014224
2026-04-17T09:22:07.376Z,1776417727376,1776417727376,0.091203,0.472624,0.000041,75823.40,75823.40,75913.50,0.170000,0.180000,0.820000,0.830000,472624,473,0.180000,-0.088797,-0.101364,0.012567
2026-04-17T09:22:09.028Z,1776417729028,1776417729028,0.085704,0.470972,0.000042,75819.37,75819.37,75913.50,0.170000,0.180000,0.820000,0.830000,470972,471,0.180000,-0.094296,-0.092825,-0.001472
2026-04-17T09:22:09.650Z,1776417729650,1776417729650,0.078074,0.470350,0.000041,75818.85,75818.85,75913.50,0.170000,0.180000,0.820000,0.830000,470350,470,0.180000,-0.101926,-0.094987,-0.006939
2026-04-17T09:22:10.641Z,1776417730641,1776417730641,0.070143,0.469359,0.000040,75816.71,75816.71,75913.50,0.170000,0.180000,0.820000,0.830000,469359,469,0.180000,-0.109857,-0.098729,-0.011127
2026-04-17T09:22:11.433Z,1776417731433,1776417731433,0.063964,0.468567,0.000039,75816.71,75816.71,75913.50,0.170000,0.180000,0.820000,0.830000,468567,469,0.180000,-0.116036,-0.102182,-0.013854
2026-04-17T09:22:12.130Z,1776417732130,1776417732130,0.058055,0.467870,0.000038,75816.70,75816.70,75913.50,0.170000,0.180000,0.820000,0.830000,467870,468,0.180000,-0.121945,-0.108812,-0.013133
2026-04-17T09:22:12.425Z,1776417732425,1776417732425,0.057997,0.467575,0.000038,75816.70,75816.70,75913.50,0.160000,0.170000,0.830000,0.840000,467575,468,0.170000,-0.112003,-0.112353,0.000351
2026-04-17T09:22:13.452Z,1776417733452,1776417733452,0.051901,0.466548,0.000036,75816.46,75816.46,75913.50,0.160000,0.170000,0.830000,0.840000,466548,467,0.170000,-0.118099,-0.115588,-0.002511
2026-04-17T09:22:13.924Z,1776417733924,1776417733924,0.046594,0.466076,0.000035,75816.45,75816.45,75913.50,0.160000,0.170000,0.830000,0.840000,466076,466,0.170000,-0.123406,-0.118298,-0.005109
2026-04-17T09:22:15.165Z,1776417735165,1776417735165,0.051987,0.464835,0.000039,75810.94,75810.94,75913.50,0.160000,0.170000,0.830000,0.840000,464835,465,0.170000,-0.118013,-0.118693,0.000680
2026-04-17T09:22:16.460Z,1776417736460,1776417736460,0.046523,0.463540,0.000037,75810.93,75810.93,75913.50,0.160000,0.170000,0.830000,0.840000,463540,464,0.170000,-0.123477,-0.119000,-0.004478
2026-04-17T09:22:16.623Z,1776417736623,1776417736623,0.046494,0.463377,0.000037,75810.93,75810.93,75913.50,0.140000,0.160000,0.840000,0.860000,463377,463,0.160000,-0.113506,-0.119300,0.005794
2026-04-17T09:22:16.777Z,1776417736777,1776417736777,0.046467,0.463223,0.000037,75810.93,75810.93,75913.50,0.140000,0.150000,0.850000,0.860000,463223,463,0.150000,-0.103533,-0.116387,0.012854
2026-04-17T09:22:18.075Z,1776417738075,1776417738075,0.040624,0.461925,0.000036,75810.26,75810.26,75913.50,0.140000,0.150000,0.850000,0.860000,461925,462,0.150000,-0.109376,-0.113581,0.004205
2026-04-17T09:22:18.661Z,1776417738661,1776417738661,0.046282,0.461339,0.000040,75804.55,75804.55,75913.50,0.140000,0.150000,0.850000,0.860000,461339,461,0.150000,-0.103718,-0.110722,0.007004
2026-04-17T09:22:19.259Z,1776417739259,1776417739259,0.045059,0.460741,0.000041,75800.16,75800.16,75913.50,0.140000,0.150000,0.850000,0.860000,460741,461,0.150000,-0.104941,-0.107015,0.002073
2026-04-17T09:22:19.538Z,1776417739538,1776417739538,0.045010,0.460462,0.000041,75800.16,75800.16,75913.50,0.150000,0.170000,0.830000,0.850000,460462,460,0.170000,-0.124990,-0.109312,-0.015678
2026-04-17T09:22:20.179Z,1776417740179,1776417740179,0.040475,0.459821,0.000040,75800.42,75800.42,75913.50,0.150000,0.170000,0.830000,0.850000,459821,460,0.170000,-0.129525,-0.114510,-0.015015
2026-04-17T09:22:21.225Z,1776417741225,1776417741225,0.084531,0.458775,0.000047,75808.67,75808.67,75913.50,0.150000,0.170000,0.830000,0.850000,458775,459,0.170000,-0.085469,-0.109729,0.024260
2026-04-17T09:22:21.440Z,1776417741440,1776417741440,0.084481,0.458560,0.000047,75808.67,75808.67,75913.50,0.160000,0.170000,0.830000,0.840000,458560,459,0.170000,-0.085519,-0.106089,0.020570
2026-04-17T09:22:22.262Z,1776417742262,1776417742262,0.098611,0.457738,0.000048,75813.30,75813.30,75913.50,0.160000,0.170000,0.830000,0.840000,457738,458,0.170000,-0.071389,-0.099378,0.027989
2026-04-17T09:22:23.426Z,1776417743426,1776417743426,0.091481,0.456574,0.000046,75813.30,75813.30,75913.50,0.160000,0.170000,0.830000,0.840000,456574,457,0.170000,-0.078519,-0.090084,0.011566
2026-04-17T09:22:24.476Z,1776417744476,1776417744476,0.084553,0.455524,0.000045,75813.30,75813.30,75913.50,0.160000,0.170000,0.830000,0.840000,455524,456,0.170000,-0.085447,-0.081268,-0.004178
2026-04-17T09:22:24.947Z,1776417744947,1776417744947,0.077951,0.455053,0.000044,75813.30,75813.30,75913.50,0.160000,0.170000,0.830000,0.840000,455053,455,0.170000,-0.092049,-0.082585,-0.009465
