iso_time,chainlink_ts,binance_ts,binance_redis_ts,fair_value_redis_ts,time_to_expiry_ms,time_to_expiry_sec,strike_price,chainlink_price,binance_btcusdc_price,annualized_sigma_5m,annualized_sigma_10m,fair_value_sigma_5m,fair_value_sigma_10m,fair_value_deribit_iv,yes_bid,yes_ask,no_bid,no_ask,f_sigma_5m,g_sigma_5m,f_minus_g_sigma_5m,trade_signal_sigma_5m,f_sigma_10m,g_sigma_10m,f_minus_g_sigma_10m,trade_signal_sigma_10m,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,trade_signal_deribit_iv
2026-05-06T11:15:22.170Z,1778066121000,1778066121417,1778066122170,1778066122170,877830,878,82403.13,82404.42,82419.58,0.310459,0.312137,0.548181,0.547920,0.502686,0.450000,0.460000,0.540000,0.550000,0.088181,,,0,0.087920,,,0,0.042686,,,0
2026-05-06T11:15:22.824Z,1778066121000,1778066122377,1778066122824,1778066122824,877176,877,82403.13,82404.42,82424.99,0.310459,0.312137,0.564032,0.563687,0.502687,0.450000,0.470000,0.530000,0.550000,0.094032,,,0,0.093687,,,0,0.032687,,,0
2026-05-06T11:15:23.292Z,1778066122000,1778066122377,1778066123292,1778066123292,876708,877,82403.13,82404.23,82424.99,0.310459,0.312137,0.564049,0.563704,0.502247,0.450000,0.470000,0.530000,0.550000,0.094049,,,0,0.093704,,,0,0.032247,,,0
2026-05-06T11:15:23.766Z,1778066122000,1778066123424,1778066123766,1778066123766,876234,876,82403.13,82404.23,82424.99,0.310459,0.312137,0.564067,0.563722,0.502248,0.460000,0.470000,0.530000,0.540000,0.094067,,,0,0.093722,,,0,0.032248,,,0
2026-05-06T11:15:24.519Z,1778066123000,1778066124421,1778066124519,1778066124519,875481,875,82403.13,82406.05,82424.99,0.310459,0.312137,0.564094,0.563749,0.506621,0.460000,0.470000,0.530000,0.540000,0.094094,,,0,0.093749,,,0,0.036621,,,0
2026-05-06T11:15:25.137Z,1778066124000,1778066124421,1778066125137,1778066125137,874863,875,82403.13,82406.20,82424.99,0.310459,0.312137,0.564117,0.563772,0.506988,0.460000,0.470000,0.530000,0.540000,0.094117,,,0,0.093772,,,0,0.036988,,,0
2026-05-06T11:15:25.942Z,1778066124000,1778066125431,1778066125942,1778066125942,874058,874,82403.13,82406.20,82429.49,0.310459,0.312137,0.577232,0.576819,0.506992,0.460000,0.480000,0.520000,0.540000,0.097232,,,0,0.096819,,,0,0.026992,,,0
2026-05-06T11:15:25.961Z,1778066124000,1778066125431,1778066125961,1778066125961,874039,874,82403.13,82406.20,82429.49,0.310459,0.312137,0.577233,0.576820,0.506992,0.470000,0.490000,0.510000,0.530000,0.087233,,,0,0.086820,,,0,0.016992,,,0
2026-05-06T11:15:26.325Z,1778066125000,1778066125431,1778066126325,1778066126325,873675,874,82403.13,82409.11,82429.49,0.310459,0.312137,0.577249,0.576835,0.514001,0.480000,0.500000,0.500000,0.520000,0.077249,,,0,0.076835,,,0,0.014001,,,0
2026-05-06T11:15:26.601Z,1778066125000,1778066126423,1778066126601,1778066126601,873399,873,82403.13,82409.11,82439.70,0.310459,0.312137,0.606689,0.606125,0.514003,0.490000,0.500000,0.500000,0.510000,0.106689,,,0,0.106125,,,0,0.014003,,,0
2026-05-06T11:15:26.957Z,1778066125000,1778066126423,1778066126957,1778066126957,873043,873,82403.13,82409.11,82439.70,0.310459,0.312137,0.606710,0.606147,0.514006,0.500000,0.510000,0.490000,0.500000,0.096710,0.092694,0.004016,0,0.096147,0.092315,0.003831,0,0.004006,0.028546,-0.024540,0
2026-05-06T11:15:27.458Z,1778066126000,1778066127409,1778066127458,1778066127458,872542,873,82403.13,82411.36,82439.70,0.310459,0.312137,0.606740,0.606177,0.519404,0.500000,0.510000,0.490000,0.500000,0.096740,0.093547,0.003193,0,0.096177,0.093138,0.003039,0,0.009404,0.024678,-0.015275,0
2026-05-06T11:15:28.622Z,1778066127000,1778066128430,1778066128622,1778066128622,871378,871,82403.13,82419.68,82439.70,0.310459,0.312137,0.606810,0.606246,0.539434,0.500000,0.520000,0.480000,0.500000,0.086810,0.093818,-0.007008,0,0.086246,0.093387,-0.007141,0,0.019434,0.022350,-0.002916,0
2026-05-06T11:15:29.317Z,1778066128000,1778066128430,1778066129317,1778066129317,870683,871,82403.13,82419.66,82439.70,0.310459,0.312137,0.606852,0.606288,0.539405,0.510000,0.520000,0.480000,0.490000,0.086852,0.093094,-0.006242,0,0.086288,0.092641,-0.006353,0,0.019405,0.021069,-0.001663,0
