iso_time,chainlink_ts,binance_ts,binance_redis_ts,fair_value_redis_ts,time_to_expiry_ms,time_to_expiry_sec,strike_price,chainlink_price,binance_btcusdc_price,annualized_sigma_5m,annualized_sigma_10m,fair_value_sigma_5m,fair_value_sigma_10m,fair_value_deribit_iv,yes_bid,yes_ask,no_bid,no_ask,f_sigma_5m,g_sigma_5m,f_minus_g_sigma_5m,trade_signal_sigma_5m,f_sigma_10m,g_sigma_10m,f_minus_g_sigma_10m,trade_signal_sigma_10m,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,trade_signal_deribit_iv
2026-04-29T16:30:49.553Z,1777480248000,1777480249391,1777480249553,1777480249553,850447,850,75810.17,75852.32,75871.07,0.455690,0.353246,0.632357,0.668858,0.610669,0.630000,0.640000,0.360000,0.370000,0.002357,,,0,0.028858,,,0,-0.019331,,,0
2026-04-29T16:30:50.197Z,1777480249000,1777480249391,1777480250197,1777480250197,849803,850,75810.17,75852.32,75871.07,0.455690,0.353246,0.632405,0.668919,0.610710,0.630000,0.640000,0.360000,0.370000,0.002405,,,0,0.028919,,,0,-0.019290,,,0
2026-04-29T16:30:50.407Z,1777480249000,1777480249391,1777480250407,1777480250407,849593,850,75810.17,75852.32,75871.07,0.455690,0.353246,0.632421,0.668938,0.610724,0.610000,0.640000,0.360000,0.390000,-0.007579,,,0,0.028938,,,0,0.000724,,,0
2026-04-29T16:30:51.188Z,1777480250000,1777480250431,1777480251188,1777480251188,848812,849,75810.17,75852.33,75862.08,0.455690,0.353246,0.613444,0.645249,0.610777,0.610000,0.640000,0.360000,0.390000,0.003444,,,0,0.005249,,,0,0.000777,,,0
2026-04-29T16:30:52.277Z,1777480251000,1777480251421,1777480252277,1777480252277,847723,848,75810.17,75850.67,75859.33,0.455690,0.353246,0.607631,0.637946,0.606591,0.600000,0.610000,0.390000,0.400000,-0.002369,,,0,0.027946,,,0,-0.003409,,,0
2026-04-29T16:30:53.283Z,1777480252000,1777480252383,1777480253283,1777480253283,846717,847,75810.17,75844.03,75855.33,0.455690,0.353246,0.599107,0.627200,0.589426,0.590000,0.600000,0.400000,0.410000,-0.000893,,,0,0.027200,,,0,-0.000574,,,0
2026-04-29T16:30:54.796Z,1777480253000,1777480254383,1777480254796,1777480254796,845204,845,75810.17,75838.59,75847.93,0.455690,0.353246,0.583131,0.606955,0.575246,0.590000,0.600000,0.400000,0.410000,-0.006869,,,0,0.006955,,,0,-0.014754,,,0
2026-04-29T16:30:55.446Z,1777480254000,1777480254383,1777480255446,1777480255446,844554,845,75810.17,75833.95,75847.93,0.455690,0.353246,0.583163,0.606996,0.563043,0.580000,0.590000,0.410000,0.420000,0.003163,,,0,0.016996,,,0,-0.016957,,,0
2026-04-29T16:30:56.630Z,1777480255000,1777480256333,1777480256630,1777480256630,843370,843,75810.17,75831.75,75847.93,0.455690,0.353246,0.583221,0.607069,0.557258,0.580000,0.590000,0.410000,0.420000,0.003221,,,0,0.017069,,,0,-0.022742,,,0
2026-04-29T16:30:57.150Z,1777480256000,1777480256333,1777480257150,1777480257150,842850,843,75810.17,75831.62,75847.93,0.455690,0.353246,0.583246,0.607102,0.556919,0.580000,0.590000,0.410000,0.420000,0.003246,,,0,0.017102,,,0,-0.023081,,,0
