iso_time,chainlink_ts,binance_ts,binance_redis_ts,fair_value_redis_ts,time_to_expiry_ms,time_to_expiry_sec,strike_price,chainlink_price,binance_btcusdc_price,annualized_sigma_5m,annualized_sigma_10m,fair_value_sigma_5m,fair_value_sigma_10m,fair_value_deribit_iv,yes_bid,yes_ask,no_bid,no_ask,f_sigma_5m,g_sigma_5m,f_minus_g_sigma_5m,trade_signal_sigma_5m,f_sigma_10m,g_sigma_10m,f_minus_g_sigma_10m,trade_signal_sigma_10m,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,trade_signal_deribit_iv
2026-04-29T12:15:48.146Z,1777464947000,1777464947422,1777464948146,1777464948146,851854,852,77318.00,77395.57,77397.98,0.296782,0.144088,0.748404,0.916230,0.697175,0.640000,0.650000,0.350000,0.360000,0.098404,,,0,0.266230,,,0,0.047175,,,0
2026-04-29T12:15:49.695Z,1777464948000,1777464948430,1777464949695,1777464949695,850305,850,77318.00,77384.64,77397.98,0.296782,0.144088,0.748599,0.916424,0.671426,0.640000,0.650000,0.350000,0.360000,0.098599,,,0,0.266424,,,0,0.021426,,,0
2026-04-29T12:15:51.052Z,1777464950000,1777464950427,1777464951052,1777464951052,848948,849,77318.00,77380.95,77397.98,0.296782,0.144088,0.748770,0.916593,0.662605,0.640000,0.650000,0.350000,0.360000,0.098770,,,0,0.266593,,,0,0.012605,,,0
2026-04-29T12:15:52.264Z,1777464951000,1777464951428,1777464952264,1777464952264,847736,848,77318.00,77382.35,77397.98,0.296782,0.144088,0.748923,0.916745,0.666118,0.640000,0.650000,0.350000,0.360000,0.098923,,,0,0.266745,,,0,0.016118,,,0
2026-04-29T12:15:53.002Z,1777464952000,1777464951428,1777464953002,1777464953002,846998,847,77318.00,77382.35,77397.98,0.296782,0.144088,0.749016,0.916837,0.666186,0.640000,0.650000,0.350000,0.360000,0.099016,,,0,0.266837,,,0,0.016186,,,0
2026-04-29T12:15:54.874Z,1777464954000,1777464954414,1777464954874,1777464954874,845126,845,77318.00,77384.93,77405.39,0.296782,0.144088,0.768664,0.934985,0.672625,0.670000,0.680000,0.320000,0.330000,0.088664,,,0,0.254985,,,0,0.002625,,,0
2026-04-29T12:15:55.520Z,1777464954000,1777464955385,1777464955520,1777464955520,844480,844,77318.00,77384.93,77416.71,0.296782,0.144088,0.796741,0.956447,0.672687,0.670000,0.690000,0.310000,0.330000,0.106741,,,0,0.266447,,,0,0.002687,,,0
2026-04-29T12:15:55.624Z,1777464954000,1777464955385,1777464955624,1777464955624,844376,844,77318.00,77384.93,77416.71,0.296782,0.144088,0.796755,0.956456,0.672697,0.680000,0.690000,0.310000,0.320000,0.106755,,,0,0.266456,,,0,-0.007303,,,0
2026-04-29T12:15:56.131Z,1777464955000,1777464955385,1777464956131,1777464956131,843869,844,77318.00,77390.30,77416.71,0.296782,0.144088,0.796826,0.956504,0.685611,0.680000,0.690000,0.310000,0.320000,0.106826,,,0,0.266504,,,0,-0.004389,,,0
2026-04-29T12:15:57.517Z,1777464956000,1777464957410,1777464957517,1777464957517,842483,842,77318.00,77394.81,77416.71,0.296782,0.144088,0.797019,0.956633,0.696390,0.690000,0.700000,0.300000,0.310000,0.097019,,,0,0.256633,,,0,-0.003610,,,0
2026-04-29T12:15:58.111Z,1777464957000,1777464957410,1777464958111,1777464958111,841889,842,77318.00,77395.94,77416.71,0.296782,0.144088,0.797102,0.956689,0.699113,0.690000,0.700000,0.300000,0.310000,0.097102,0.099972,-0.002870,0,0.256689,0.264386,-0.007696,0,-0.000887,0.010352,-0.011239,0
2026-04-29T12:15:59.976Z,1777464959000,1777464959431,1777464959976,1777464959976,840024,840,77318.00,77401.29,77416.71,0.296782,0.144088,0.797363,0.956864,0.711686,0.690000,0.700000,0.300000,0.310000,0.097363,0.099841,-0.002479,0,0.256864,0.263431,-0.006568,0,0.011686,0.005546,0.006141,0
2026-04-29T12:16:01.815Z,1777464961000,1777464961418,1777464961815,1777464961815,838185,838,77318.00,77401.88,77416.71,0.296782,0.144088,0.797621,0.957036,0.713247,0.690000,0.700000,0.300000,0.310000,0.097621,0.099718,-0.002097,0,0.257036,0.262475,-0.005440,0,0.013247,0.004572,0.008676,0
2026-04-29T12:16:03.118Z,1777464962000,1777464962404,1777464963118,1777464963118,836882,837,77318.00,77395.17,77416.71,0.296782,0.144088,0.797804,0.957158,0.697843,0.690000,0.700000,0.300000,0.310000,0.097804,0.099603,-0.001799,0,0.257158,0.261520,-0.004362,0,-0.002157,0.004636,-0.006793,0
2026-04-29T12:16:05.079Z,1777464964000,1777464964324,1777464965079,1777464965079,834921,835,77318.00,77395.07,77416.71,0.296782,0.144088,0.798080,0.957341,0.697816,0.690000,0.700000,0.300000,0.310000,0.098080,0.099491,-0.001411,0,0.257341,0.260561,-0.003220,0,-0.002184,0.002808,-0.004992,0
2026-04-29T12:16:06.121Z,1777464965000,1777464965430,1777464966121,1777464966121,833879,834,77318.00,77395.20,77416.71,0.296782,0.144088,0.798227,0.957439,0.698234,0.690000,0.700000,0.300000,0.310000,0.098227,0.099397,-0.001170,0,0.257439,0.259611,-0.002173,0,-0.001766,0.000971,-0.002737,0
2026-04-29T12:16:06.528Z,1777464965000,1777464966427,1777464966528,1777464966528,833472,833,77318.00,77395.20,77410.51,0.296782,0.144088,0.783192,0.946737,0.698279,0.680000,0.700000,0.300000,0.320000,0.083192,0.100354,-0.017162,0,0.246737,0.259857,-0.013120,0,-0.001721,0.000532,-0.002254,0
