iso_time,chainlink_ts,binance_ts,binance_redis_ts,fair_value_redis_ts,time_to_expiry_ms,time_to_expiry_sec,strike_price,chainlink_price,binance_btcusdc_price,annualized_sigma_5m,annualized_sigma_10m,fair_value_sigma_5m,fair_value_sigma_10m,fair_value_deribit_iv,yes_bid,yes_ask,yes_execution_side,yes_exec_price_raw,yes_exec_price_fee_adj,taker_fee_rate,no_bid,no_ask,f_sigma_5m,g_sigma_5m,f_minus_g_sigma_5m,trade_signal_sigma_5m,f_sigma_10m,g_sigma_10m,f_minus_g_sigma_10m,trade_signal_sigma_10m,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,trade_signal_deribit_iv
2026-05-10T04:15:18.426Z,1778386517000,1778386517381,1778386518426,1778386518426,881574,882,80765.40,80751.77,80762.51,0.129157,0.120768,0.478900,0.477454,0.463713,0.370000,0.380000,buy,0.380000,0.386840,0.018000,0.620000,0.630000,0.092060,,,0,0.090614,,,0,0.076873,,,0
2026-05-10T04:15:19.389Z,1778386518000,1778386517381,1778386519389,1778386519389,880611,881,80765.40,80751.78,80762.51,0.129157,0.120768,0.478889,0.477442,0.463697,0.370000,0.390000,buy,0.390000,0.397020,0.018000,0.610000,0.630000,0.081869,,,0,0.080422,,,0,0.066677,,,0
2026-05-10T04:15:20.073Z,1778386519000,1778386517381,1778386520073,1778386520073,879927,880,80765.40,80751.78,80762.51,0.129157,0.120768,0.478881,0.477433,0.463700,0.380000,0.390000,buy,0.390000,0.397020,0.018000,0.610000,0.620000,0.081861,,,0,0.080413,,,0,0.066680,,,0
2026-05-10T04:15:20.136Z,1778386519000,1778386517381,1778386520136,1778386520136,879864,880,80765.40,80751.78,80762.51,0.129157,0.120768,0.478880,0.477433,0.463699,0.380000,0.400000,buy,0.400000,0.407200,0.018000,0.600000,0.620000,0.071680,,,0,0.070233,,,0,0.056499,,,0
2026-05-10T04:15:20.447Z,1778386519000,1778386520345,1778386520447,1778386520447,879553,880,80765.40,80751.78,80762.51,0.129157,0.120768,0.478876,0.477429,0.463692,0.390000,0.410000,buy,0.410000,0.417380,0.018000,0.590000,0.610000,0.061496,,,0,0.060049,,,0,0.046312,,,0
2026-05-10T04:15:20.749Z,1778386519000,1778386520345,1778386520749,1778386520749,879251,879,80765.40,80751.78,80762.51,0.129157,0.120768,0.478873,0.477425,0.463686,0.400000,0.410000,buy,0.410000,0.417380,0.018000,0.590000,0.600000,0.061493,,,0,0.060045,,,0,0.046306,,,0
2026-05-10T04:15:20.804Z,1778386519000,1778386520345,1778386520804,1778386520804,879196,879,80765.40,80751.78,80762.51,0.129157,0.120768,0.478872,0.477424,0.463685,0.400000,0.420000,buy,0.420000,0.427560,0.018000,0.580000,0.600000,0.051312,,,0,0.049864,,,0,0.036125,,,0
2026-05-10T04:15:21.336Z,1778386520000,1778386520345,1778386521336,1778386521336,878664,879,80765.40,80751.78,80762.51,0.129157,0.120768,0.478866,0.477417,0.463657,0.400000,0.420000,buy,0.420000,0.427560,0.018000,0.580000,0.600000,0.051306,,,0,0.049857,,,0,0.036097,,,0
2026-05-10T04:15:21.782Z,1778386520000,1778386520345,1778386521782,1778386521782,878218,878,80765.40,80751.78,80762.51,0.129157,0.120768,0.478860,0.477412,0.463648,0.410000,0.420000,buy,0.420000,0.427560,0.018000,0.580000,0.590000,0.051300,,,0,0.049852,,,0,0.036088,,,0
2026-05-10T04:15:22.602Z,1778386521000,1778386521931,1778386522602,1778386522602,877398,877,80765.40,80751.77,80762.51,0.129157,0.120768,0.478851,0.477401,0.463627,0.410000,0.420000,buy,0.420000,0.427560,0.018000,0.580000,0.590000,0.051291,,,0,0.049841,,,0,0.036067,,,0
