iso_time,ts,published_at,chainlink_ts,binance_ts,fair_value,fair_value_sigma_1m,fair_value_sigma_5m,fair_value_blended_sigma,confidence,annualized_sigma,annualized_sigma_1m,annualized_sigma_5m,fair_value_deribit_iv,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,f_mean_fv,g_mean_fv,f_minus_g_mean_fv
2026-04-24T05:00:36.437Z,1777006836437,1777006836437,1777006835000,1777006833383,0.601415,0.552385,0.514311,0.545404,0.863563,0.111789,0.217484,0.759576,0.529014,77697.07,77716.21,77685.38,0.580000,0.600000,0.400000,0.420000,863563,864,0.600000,0.001415,0.044597,-0.043182,-0.070986,-0.022973,-0.048013,-0.054596,-0.006845,-0.047751
2026-04-24T05:00:36.464Z,1777006836464,1777006836464,1777006835000,1777006836430,0.601417,0.552385,0.514312,0.545405,0.863536,0.111789,0.217484,0.759576,0.529014,77697.07,77729.85,77685.38,0.590000,0.600000,0.400000,0.410000,863536,864,0.600000,0.001417,0.040271,-0.038854,-0.070986,-0.028314,-0.042672,-0.054595,-0.012158,-0.042437
2026-04-24T05:00:36.484Z,1777006836484,1777006836484,1777006835000,1777006836430,0.601418,0.552386,0.514312,0.545405,0.863516,0.111789,0.217484,0.759576,0.529015,77697.07,77729.85,77685.38,0.610000,0.620000,0.380000,0.390000,863516,864,0.620000,-0.018582,0.036488,-0.055070,-0.090985,-0.033400,-0.057586,-0.074595,-0.017117,-0.057477
2026-04-24T05:00:36.570Z,1777006836570,1777006836570,1777006835000,1777006836430,0.601423,0.552389,0.514313,0.545408,0.863430,0.111789,0.217484,0.759576,0.529016,77697.07,77729.85,77685.38,0.620000,0.640000,0.360000,0.380000,863430,863,0.640000,-0.038577,0.030422,-0.069000,-0.110984,-0.040487,-0.070497,-0.094592,-0.024114,-0.070478
2026-04-24T05:00:36.691Z,1777006836691,1777006836691,1777006835000,1777006836430,0.601430,0.552392,0.514314,0.545411,0.863309,0.111789,0.217484,0.759576,0.529018,77697.07,77729.85,77685.38,0.630000,0.640000,0.360000,0.370000,863309,863,0.640000,-0.038570,0.022075,-0.060645,-0.110982,-0.049574,-0.061408,-0.094589,-0.033144,-0.061445
2026-04-24T05:00:37.369Z,1777006837369,1777006837369,1777006836000,1777006836430,0.604591,0.552413,0.514320,0.545742,0.862631,0.108384,0.217484,0.759576,0.529030,77697.07,77729.85,77685.38,0.630000,0.640000,0.360000,0.370000,862631,863,0.640000,-0.035409,0.012731,-0.048140,-0.110970,-0.058921,-0.052049,-0.094258,-0.042591,-0.051667
2026-04-24T05:00:38.005Z,1777006838005,1777006838005,1777006837000,1777006837431,0.620055,0.569093,0.519148,0.558496,0.861995,0.124139,0.217484,0.759576,0.538415,77700.81,77734.43,77685.38,0.630000,0.640000,0.360000,0.370000,861995,862,0.640000,-0.019945,0.004423,-0.024368,-0.101585,-0.067987,-0.033598,-0.081504,-0.051597,-0.029907
2026-04-24T05:00:39.057Z,1777006839057,1777006839057,1777006838000,1777006838429,0.605838,0.626334,0.536023,0.585101,0.860943,0.260758,0.217484,0.759576,0.571067,77713.87,77734.43,77685.38,0.630000,0.640000,0.360000,0.370000,860943,861,0.640000,-0.034162,-0.002402,-0.031760,-0.068933,-0.076044,0.007111,-0.054899,-0.059252,0.004354
2026-04-24T05:00:40.256Z,1777006840256,1777006840256,1777006839000,1777006839383,0.608889,0.626097,0.535953,0.585980,0.859744,0.252818,0.217484,0.759576,0.570930,77713.80,77734.43,77685.38,0.610000,0.630000,0.370000,0.390000,859744,860,0.630000,-0.021111,-0.010959,-0.010152,-0.059070,-0.080839,0.021768,-0.044020,-0.064282,0.020262
2026-04-24T05:00:40.267Z,1777006840267,1777006840267,1777006839000,1777006839383,0.608890,0.626098,0.535953,0.585981,0.859733,0.252818,0.217484,0.759576,0.570930,77713.80,77734.43,77685.38,0.610000,0.620000,0.380000,0.390000,859733,860,0.620000,-0.011110,-0.017211,0.006101,-0.049070,-0.083647,0.034577,-0.034019,-0.067225,0.033205
2026-04-24T05:00:41.235Z,1777006841235,1777006841235,1777006840000,1777006840385,0.613661,0.627728,0.536443,0.588152,0.858765,0.245201,0.217484,0.759576,0.571874,77714.16,77728.01,77685.38,0.610000,0.620000,0.380000,0.390000,858765,859,0.620000,-0.006339,-0.021464,0.015125,-0.048126,-0.084455,0.036329,-0.031848,-0.068167,0.036319
2026-04-24T05:00:41.367Z,1777006841367,1777006841367,1777006840000,1777006840385,0.613670,0.627738,0.536446,0.588159,0.858633,0.245201,0.217484,0.759576,0.571879,77714.16,77728.01,77685.38,0.600000,0.610000,0.390000,0.400000,858633,859,0.610000,0.003670,-0.022239,0.025909,-0.038121,-0.082169,0.044048,-0.021841,-0.065892,0.044051
2026-04-24T05:00:42.305Z,1777006842305,1777006842305,1777006841000,1777006841409,0.596935,0.610369,0.531258,0.575606,0.857695,0.248222,0.217484,0.759576,0.561873,77710.13,77728.01,77685.38,0.600000,0.610000,0.390000,0.400000,857695,858,0.610000,-0.013065,-0.022014,0.008949,-0.048127,-0.078883,0.030756,-0.034394,-0.062617,0.028222
2026-04-24T05:00:43.572Z,1777006843572,1777006843572,1777006842000,1777006843194,0.595107,0.605433,0.529796,0.572936,0.856428,0.241519,0.217484,0.759576,0.559046,77708.98,77728.01,77685.38,0.600000,0.620000,0.380000,0.400000,856428,856,0.620000,-0.024893,-0.021462,-0.003431,-0.060954,-0.074597,0.013643,-0.047064,-0.058597,0.011533
2026-04-24T05:00:44.264Z,1777006844264,1777006844264,1777006843000,1777006843194,0.599210,0.606698,0.530170,0.574687,0.855736,0.234214,0.217484,0.759576,0.559770,77709.26,77728.01,77685.38,0.600000,0.620000,0.380000,0.400000,855736,856,0.620000,-0.020790,-0.020093,-0.000697,-0.060230,-0.069594,0.009364,-0.045313,-0.053844,0.008531
2026-04-24T05:00:52.348Z,1777006852348,1777006852348,1777006851000,1777006850424,0.630354,0.616278,0.533020,0.587175,0.847652,0.193336,0.217484,0.759576,0.565268,77711.34,77731.74,77685.38,0.620000,0.630000,0.370000,0.380000,847652,848,0.630000,0.000354,-0.018315,0.018669,-0.064732,-0.064519,-0.000213,-0.042825,-0.048916,0.006091
2026-04-24T05:01:03.501Z,1777006863501,1777006863501,1777006862000,1777006863396,0.660198,0.608778,0.530885,0.588863,0.836499,0.145987,0.218100,0.759576,0.561138,77709.53,77728.52,77685.38,0.580000,0.590000,0.410000,0.420000,836499,836,0.590000,0.070198,-0.014739,0.084938,-0.028862,-0.059895,0.031032,-0.001137,-0.043773,0.042636
2026-04-24T05:01:04.551Z,1777006864551,1777006864551,1777006863000,1777006864407,0.666049,0.609554,0.531116,0.590239,0.835449,0.141568,0.218100,0.759576,0.561583,77709.69,77728.52,77685.38,0.580000,0.600000,0.400000,0.420000,835449,835,0.600000,0.066049,-0.005725,0.071774,-0.038417,-0.052623,0.014206,-0.009761,-0.035736,0.025975
2026-04-24T05:01:04.564Z,1777006864564,1777006864564,1777006863000,1777006864407,0.666050,0.609555,0.531116,0.590239,0.835436,0.141568,0.218100,0.759576,0.561584,77709.69,77728.52,77685.38,0.590000,0.600000,0.400000,0.410000,835436,835,0.600000,0.066050,0.004296,0.061754,-0.038416,-0.049571,0.011155,-0.009761,-0.031222,0.021462
