iso_time,chainlink_ts,binance_ts,binance_redis_ts,fair_value_redis_ts,time_to_expiry_ms,time_to_expiry_sec,strike_price,chainlink_price,binance_btcusdc_price,annualized_sigma_5m,annualized_sigma_10m,fair_value_sigma_5m,fair_value_sigma_10m,fair_value_deribit_iv,yes_bid,yes_ask,yes_execution_side,yes_exec_price_raw,yes_exec_price_fee_adj,taker_fee_rate,no_bid,no_ask,f_sigma_5m,g_sigma_5m,f_minus_g_sigma_5m,trade_signal_sigma_5m,f_sigma_10m,g_sigma_10m,f_minus_g_sigma_10m,trade_signal_sigma_10m,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,trade_signal_deribit_iv
2026-05-11T21:00:55.712Z,1778533254000,1778533255414,1778533255712,1778533255712,844288,844,81807.84,81821.80,81836.89,12.665544,45.893707,0.489091,0.453337,0.536404,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090289,,,0,-0.126043,,,0,-0.042976,,,0
2026-05-11T21:00:56.195Z,1778533255000,1778533255414,1778533256195,1778533256195,843805,844,81807.84,81821.86,81836.89,12.665544,45.893707,0.489096,0.453350,0.536552,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090284,,,0,-0.126030,,,0,-0.042828,,,0
2026-05-11T21:00:57.452Z,1778533256000,1778533257427,1778533257452,1778533257452,842548,843,81807.84,81821.86,81836.89,12.665544,45.893707,0.489107,0.453386,0.536581,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090273,,,0,-0.125994,,,0,-0.042799,,,0
2026-05-11T21:00:58.650Z,1778533257000,1778533258372,1778533258650,1778533258650,841350,841,81807.84,81821.90,81836.89,12.665544,45.893707,0.489118,0.453420,0.536724,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090262,,,0,-0.125960,,,0,-0.042656,,,0
2026-05-11T21:00:59.226Z,1778533258000,1778533258372,1778533259226,1778533259226,840774,841,81807.84,81822.23,81836.89,12.665544,45.893707,0.489123,0.453436,0.537613,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090257,,,0,-0.125944,,,0,-0.041767,,,0
2026-05-11T21:01:00.929Z,1778533259000,1778533260429,1778533260929,1778533260929,839071,839,81807.84,81821.60,81836.89,12.665544,45.893707,0.489138,0.453484,0.535970,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090242,,,0,-0.125896,,,0,-0.043410,,,0
2026-05-11T21:01:01.964Z,1778533260000,1778533261352,1778533261964,1778533261964,838036,838,81807.84,81821.59,81836.89,12.665544,45.893707,0.489148,0.453513,0.535981,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090232,,,0,-0.125867,,,0,-0.043399,,,0
2026-05-11T21:01:02.760Z,1778533261000,1778533262373,1778533262760,1778533262760,837240,837,81807.84,81821.88,81836.89,12.665544,45.893707,0.489155,0.453536,0.536760,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090225,,,0,-0.125844,,,0,-0.042620,,,0
2026-05-11T21:01:03.430Z,1778533262000,1778533262373,1778533263430,1778533263430,836570,837,81807.84,81821.88,81836.89,12.665544,45.893707,0.489161,0.453555,0.536786,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090219,,,0,-0.125825,,,0,-0.042594,,,0
2026-05-11T21:01:04.495Z,1778533263000,1778533264348,1778533264495,1778533264495,835505,836,81807.84,81822.05,81836.89,12.665544,45.893707,0.489171,0.453585,0.537245,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090209,,,0,-0.125795,,,0,-0.042135,,,0
2026-05-11T21:01:05.208Z,1778533264000,1778533264348,1778533265208,1778533265208,834792,835,81807.84,81822.05,81836.89,12.665544,45.893707,0.489177,0.453605,0.537261,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090203,-0.090249,0.000046,0,-0.125775,-0.125920,0.000145,0,-0.042119,-0.042719,0.000599,0
2026-05-11T21:01:06.442Z,1778533265000,1778533265415,1778533266442,1778533266442,833558,834,81807.84,81822.04,81836.89,12.665544,45.893707,0.489188,0.453640,0.537270,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090192,-0.090241,0.000049,0,-0.125740,-0.125893,0.000153,0,-0.042110,-0.042633,0.000523,0
2026-05-11T21:01:07.709Z,1778533266000,1778533267424,1778533267709,1778533267709,832291,832,81807.84,81822.04,81836.89,12.665544,45.893707,0.489200,0.453676,0.537305,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090180,-0.090231,0.000051,0,-0.125704,-0.125864,0.000160,0,-0.042075,-0.042561,0.000486,0
2026-05-11T21:01:08.347Z,1778533267000,1778533267424,1778533268347,1778533268347,831653,832,81807.84,81822.04,81836.89,12.665544,45.893707,0.489206,0.453694,0.537320,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090174,-0.090222,0.000048,0,-0.125686,-0.125835,0.000149,0,-0.042060,-0.042489,0.000429,0
2026-05-11T21:01:09.414Z,1778533268000,1778533268337,1778533269414,1778533269414,830586,831,81807.84,81822.05,81836.89,12.665544,45.893707,0.489215,0.453725,0.537354,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090165,-0.090213,0.000049,0,-0.125655,-0.125807,0.000152,0,-0.042026,-0.042429,0.000403,0
2026-05-11T21:01:10.465Z,1778533269000,1778533270291,1778533270465,1778533270465,829535,830,81807.84,81821.88,81836.89,12.665544,45.893707,0.489225,0.453755,0.536923,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090155,-0.090204,0.000049,0,-0.125625,-0.125779,0.000153,0,-0.042457,-0.042455,-0.000002,0
2026-05-11T21:01:11.026Z,1778533270000,1778533270291,1778533271026,1778533271026,828974,829,81807.84,81822.18,81836.89,12.665544,45.893707,0.489230,0.453771,0.537729,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090150,-0.090195,0.000046,0,-0.125609,-0.125752,0.000142,0,-0.041651,-0.042360,0.000708,0
2026-05-11T21:01:12.236Z,1778533271000,1778533271374,1778533272236,1778533272236,827764,828,81807.84,81822.17,81836.89,12.665544,45.893707,0.489241,0.453805,0.537731,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090139,-0.090187,0.000048,0,-0.125575,-0.125726,0.000151,0,-0.041649,-0.042185,0.000535,0
2026-05-11T21:01:13.351Z,1778533272000,1778533272370,1778533273351,1778533273351,826649,827,81807.84,81822.01,81836.89,12.665544,45.893707,0.489251,0.453837,0.537332,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090129,-0.090179,0.000050,0,-0.125543,-0.125699,0.000156,0,-0.042048,-0.042088,0.000039,0
2026-05-11T21:01:14.430Z,1778533273000,1778533272370,1778533274430,1778533274430,825570,826,81807.84,81822.00,81836.89,12.665544,45.893707,0.489261,0.453868,0.537343,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090119,-0.090169,0.000051,0,-0.125512,-0.125671,0.000158,0,-0.042037,-0.042033,-0.000004,0
2026-05-11T21:01:15.049Z,1778533274000,1778533274431,1778533275049,1778533275049,824951,825,81807.84,81822.00,81836.89,12.665544,45.893707,0.489267,0.453885,0.537357,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090113,-0.090160,0.000047,0,-0.125495,-0.125642,0.000148,0,-0.042023,-0.042023,0.000000,0
2026-05-11T21:01:16.192Z,1778533275000,1778533275254,1778533276192,1778533276192,823808,824,81807.84,81822.81,81836.89,12.665544,45.893707,0.489277,0.453918,0.539536,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090103,-0.090151,0.000049,0,-0.125462,-0.125614,0.000152,0,-0.039844,-0.042014,0.002170,0
2026-05-11T21:01:17.461Z,1778533276000,1778533277334,1778533277461,1778533277461,822539,823,81807.84,81823.33,81836.89,12.665544,45.893707,0.489289,0.453954,0.540955,0.590000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.410000,-0.090091,-0.090143,0.000052,0,-0.125426,-0.125587,0.000161,0,-0.038425,-0.041787,0.003362,0
2026-05-11T21:01:18.580Z,1778533277000,1778533278420,1778533278580,1778533278580,821420,821,81807.84,81823.33,81836.89,12.665544,45.893707,0.489299,0.453986,0.540982,0.580000,0.590000,buy,0.590000,0.600620,0.018000,0.410000,0.420000,-0.080261,-0.090134,0.009873,0,-0.115574,-0.125559,0.009985,0,-0.028578,-0.041422,0.012844,0
2026-05-11T21:01:19.169Z,1778533278000,1778533278420,1778533279169,1778533279169,820831,821,81807.84,81823.33,81836.89,12.665544,45.893707,0.489305,0.454003,0.540997,0.580000,0.590000,buy,0.590000,0.600620,0.018000,0.410000,0.420000,-0.080255,-0.089142,0.008887,0,-0.115557,-0.124548,0.008991,0,-0.028563,-0.040074,0.011510,0
2026-05-11T21:01:20.314Z,1778533279000,1778533279283,1778533280314,1778533280314,819686,820,81807.84,81822.68,81836.89,12.665544,45.893707,0.489315,0.454036,0.539282,0.580000,0.590000,buy,0.590000,0.600620,0.018000,0.410000,0.420000,-0.080245,-0.088151,0.007907,0,-0.115524,-0.123538,0.008014,0,-0.030278,-0.038728,0.008449,0
2026-05-11T21:01:21.524Z,1778533280000,1778533280422,1778533281524,1778533281524,818476,818,81807.84,81822.45,81836.89,12.665544,45.893707,0.489326,0.454071,0.538702,0.580000,0.590000,buy,0.590000,0.600620,0.018000,0.410000,0.420000,-0.080234,-0.087160,0.006927,0,-0.115489,-0.122528,0.007038,0,-0.030858,-0.037510,0.006652,0
2026-05-11T21:01:22.161Z,1778533281000,1778533280422,1778533282161,1778533282161,817839,818,81807.84,81822.46,81836.89,12.665544,45.893707,0.489332,0.454089,0.538749,0.580000,0.590000,buy,0.590000,0.600620,0.018000,0.410000,0.420000,-0.080228,-0.086169,0.005941,0,-0.115471,-0.121516,0.006045,0,-0.030811,-0.036430,0.005619,0
2026-05-11T21:01:23.353Z,1778533282000,1778533280422,1778533283353,1778533283353,816647,817,81807.84,81823.33,81836.89,12.665544,45.893707,0.489343,0.454123,0.541090,0.580000,0.590000,buy,0.590000,0.600620,0.018000,0.410000,0.420000,-0.080217,-0.085178,0.004961,0,-0.115437,-0.120505,0.005068,0,-0.028470,-0.035347,0.006876,0
2026-05-11T21:01:24.316Z,1778533283000,1778533283362,1778533284316,1778533284316,815684,816,81807.84,81824.03,81836.89,12.665544,45.893707,0.489352,0.454151,0.542975,0.580000,0.590000,buy,0.590000,0.600620,0.018000,0.410000,0.420000,-0.080208,-0.084186,0.003979,0,-0.115409,-0.119495,0.004085,0,-0.026585,-0.033989,0.007404,0
2026-05-11T21:01:25.620Z,1778533284000,1778533285323,1778533285620,1778533285620,814380,814,81807.84,81823.35,81836.89,12.665544,45.893707,0.489364,0.454188,0.541208,0.580000,0.590000,buy,0.590000,0.600620,0.018000,0.410000,0.420000,-0.080196,-0.083195,0.002999,0,-0.115372,-0.118484,0.003113,0,-0.028352,-0.032444,0.004091,0
2026-05-11T21:01:26.100Z,1778533285000,1778533285323,1778533286100,1778533286100,813900,814,81807.84,81823.35,81836.89,12.665544,45.893707,0.489369,0.454202,0.541220,0.580000,0.590000,buy,0.590000,0.600620,0.018000,0.410000,0.420000,-0.080191,-0.082204,0.002012,0,-0.115358,-0.117472,0.002114,0,-0.028340,-0.031076,0.002736,0
2026-05-11T21:01:27.176Z,1778533286000,1778533286424,1778533287176,1778533287176,812824,813,81807.84,81818.38,81836.89,12.665544,45.893707,0.489378,0.454233,0.527940,0.580000,0.590000,buy,0.590000,0.600620,0.018000,0.410000,0.420000,-0.080182,-0.081213,0.001031,0,-0.115327,-0.116462,0.001135,0,-0.041620,-0.029926,-0.011693,0
