iso_time,chainlink_ts,binance_ts,binance_redis_ts,fair_value_redis_ts,time_to_expiry_ms,time_to_expiry_sec,strike_price,chainlink_price,binance_btcusdc_price,annualized_sigma_5m,annualized_sigma_10m,fair_value_sigma_5m,fair_value_sigma_10m,fair_value_deribit_iv,yes_bid,yes_ask,yes_execution_side,yes_exec_price_raw,yes_exec_price_fee_adj,taker_fee_rate,no_bid,no_ask,f_sigma_5m,g_sigma_5m,f_minus_g_sigma_5m,trade_signal_sigma_5m,f_sigma_10m,g_sigma_10m,f_minus_g_sigma_10m,trade_signal_sigma_10m,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,trade_signal_deribit_iv
2026-05-14T23:00:58.795Z,1778799657000,1778799658168,1778799658795,1778799658795,841205,841,81442.38,81401.66,81414.99,0.244925,0.332831,0.394889,0.422078,0.394894,0.340000,0.350000,buy,0.350000,0.356300,0.018000,0.650000,0.660000,0.038589,,,0,0.065778,,,0,0.038594,,,0
2026-05-14T23:00:59.194Z,1778799658000,1778799658168,1778799659194,1778799659194,840806,841,81442.38,81401.68,81414.99,0.244925,0.332831,0.394865,0.422060,0.394906,0.340000,0.350000,sell,0.340000,0.333880,0.018000,0.650000,0.660000,0.038565,,,0,0.065760,,,0,0.038606,,,0
2026-05-14T23:01:00.124Z,1778799659000,1778799659153,1778799660124,1778799660124,839876,840,81442.38,81401.78,81414.99,0.244925,0.332831,0.394808,0.422018,0.395104,0.340000,0.350000,sell,0.340000,0.333880,0.018000,0.650000,0.660000,0.038508,,,0,0.065718,,,0,0.038804,,,0
2026-05-14T23:01:01.195Z,1778799660000,1778799660261,1778799661195,1778799661195,838805,839,81442.38,81401.78,81414.99,0.244925,0.332831,0.394743,0.421969,0.395041,0.340000,0.350000,sell,0.340000,0.333880,0.018000,0.650000,0.660000,0.038443,,,0,0.065669,,,0,0.038741,,,0
2026-05-14T23:01:02.265Z,1778799661000,1778799661393,1778799662265,1778799662265,837735,838,81442.38,81401.06,81414.99,0.244925,0.332831,0.394677,0.421920,0.393166,0.340000,0.350000,sell,0.340000,0.333880,0.018000,0.650000,0.660000,0.038377,,,0,0.065620,,,0,0.036866,,,0
2026-05-14T23:01:03.416Z,1778799662000,1778799662333,1778799663416,1778799663416,836584,837,81442.38,81401.05,81414.99,0.244925,0.332831,0.394607,0.421868,0.393075,0.340000,0.350000,sell,0.340000,0.333880,0.018000,0.650000,0.660000,0.038307,,,0,0.065568,,,0,0.036775,,,0
2026-05-14T23:01:04.103Z,1778799663000,1778799663393,1778799664103,1778799664103,835897,836,81442.38,81401.06,81414.99,0.244925,0.332831,0.394565,0.421836,0.393045,0.340000,0.350000,sell,0.340000,0.333880,0.018000,0.650000,0.660000,0.038265,,,0,0.065536,,,0,0.036745,,,0
2026-05-14T23:01:05.362Z,1778799664000,1778799664413,1778799665362,1778799665362,834638,835,81442.38,81401.67,81414.99,0.244925,0.332831,0.394488,0.421779,0.394517,0.340000,0.350000,sell,0.340000,0.333880,0.018000,0.650000,0.660000,0.038188,,,0,0.065479,,,0,0.038217,,,0
2026-05-14T23:01:06.418Z,1778799665000,1778799665392,1778799666418,1778799666418,833582,834,81442.38,81401.78,81414.99,0.244925,0.332831,0.394423,0.421730,0.394725,0.340000,0.350000,sell,0.340000,0.333880,0.018000,0.650000,0.660000,0.038123,,,0,0.065430,,,0,0.038425,,,0
2026-05-14T23:01:07.192Z,1778799666000,1778799665392,1778799667192,1778799667192,832808,833,81442.38,81401.33,81414.99,0.244925,0.332831,0.394375,0.421695,0.393531,0.340000,0.350000,sell,0.340000,0.333880,0.018000,0.650000,0.660000,0.038075,,,0,0.065395,,,0,0.037231,,,0
