iso_time,ts,published_at,fair_value,confidence,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g
2026-04-17T07:30:12.651Z,1776411012651,1776411012651,0.463337,0.887349,74980.46,74980.46,74986.58,0.480000,0.490000,0.510000,0.520000,887349,887,0.490000,-0.026663,,
2026-04-17T07:30:12.850Z,1776411012850,1776411012850,0.463333,0.887150,74980.46,74980.46,74986.58,0.480000,0.500000,0.500000,0.520000,887150,887,0.500000,-0.036667,,
2026-04-17T07:30:13.200Z,1776411013200,1776411013200,0.465986,0.886800,74981.07,74981.07,74986.58,0.490000,0.500000,0.500000,0.510000,886800,887,0.500000,-0.034014,,
2026-04-17T07:30:14.154Z,1776411014154,1776411014154,0.464794,0.885846,74981.05,74981.05,74986.58,0.490000,0.500000,0.500000,0.510000,885846,886,0.500000,-0.035206,,
2026-04-17T07:30:14.233Z,1776411014233,1776411014233,0.464792,0.885767,74981.05,74981.05,74986.58,0.490000,0.510000,0.490000,0.510000,885767,886,0.510000,-0.045208,-0.035552,-0.009656
2026-04-17T07:30:14.262Z,1776411014262,1776411014262,0.464791,0.885738,74981.05,74981.05,74986.58,0.500000,0.510000,0.490000,0.500000,885738,886,0.510000,-0.045209,-0.039261,-0.005948
2026-04-17T07:30:15.200Z,1776411015200,1776411015200,0.463252,0.884800,74980.98,74980.98,74986.58,0.500000,0.510000,0.490000,0.500000,884800,885,0.510000,-0.046748,-0.041277,-0.005471
2026-04-17T07:30:16.620Z,1776411016620,1776411016620,0.462080,0.883380,74980.98,74980.98,74986.58,0.500000,0.510000,0.490000,0.500000,883380,883,0.510000,-0.047920,-0.044058,-0.003862
2026-04-17T07:30:17.137Z,1776411017137,1776411017137,0.457930,0.882863,74980.55,74980.55,74986.58,0.500000,0.510000,0.490000,0.500000,882863,883,0.510000,-0.052070,-0.047431,-0.004639
2026-04-17T07:30:18.288Z,1776411018288,1776411018288,0.453019,0.881712,74980.03,74980.03,74986.58,0.500000,0.510000,0.490000,0.500000,881712,882,0.510000,-0.056981,-0.049786,-0.007196
2026-04-17T07:30:18.852Z,1776411018852,1776411018852,0.451543,0.881148,74980.03,74980.03,74986.58,0.500000,0.510000,0.490000,0.500000,881148,881,0.510000,-0.058457,-0.052435,-0.006022
2026-04-17T07:30:19.882Z,1776411019882,1776411019882,0.451515,0.880118,74980.03,74980.03,74986.58,0.490000,0.510000,0.490000,0.510000,880118,880,0.510000,-0.058485,-0.054783,-0.003702
2026-04-17T07:30:19.973Z,1776411019973,1776411019973,0.451513,0.880027,74980.03,74980.03,74986.58,0.490000,0.500000,0.500000,0.510000,880027,880,0.500000,-0.048487,-0.054896,0.006409
2026-04-17T07:30:19.979Z,1776411019979,1776411019979,0.447015,0.880021,74979.62,74979.62,74986.58,0.490000,0.500000,0.500000,0.510000,880021,880,0.500000,-0.052985,-0.055079,0.002094
2026-04-17T07:30:20.988Z,1776411020988,1776411020988,0.445219,0.879012,74979.61,74979.61,74986.58,0.490000,0.500000,0.500000,0.510000,879012,879,0.500000,-0.054781,-0.054639,-0.000142
2026-04-17T07:30:22.115Z,1776411022115,1776411022115,0.443530,0.877885,74979.61,74979.61,74986.58,0.490000,0.500000,0.500000,0.510000,877885,878,0.500000,-0.056470,-0.054242,-0.002229
2026-04-17T07:30:22.979Z,1776411022979,1776411022979,0.443502,0.877021,74979.61,74979.61,74986.58,0.500000,0.510000,0.490000,0.500000,877021,877,0.510000,-0.066498,-0.055844,-0.010654
2026-04-17T07:30:24.088Z,1776411024088,1776411024088,0.446157,0.875912,74980.14,74980.14,74986.58,0.500000,0.510000,0.490000,0.500000,875912,876,0.510000,-0.063843,-0.058915,-0.004928
2026-04-17T07:30:25.106Z,1776411025106,1776411025106,0.445901,0.874894,74980.31,74980.31,74986.58,0.500000,0.510000,0.490000,0.500000,874894,875,0.510000,-0.064099,-0.061138,-0.002961
