iso_time,ts,published_at,fair_value,fair_value_blended_sigma,confidence,annualized_sigma,fair_value_deribit_iv,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,f_mean_fv,g_mean_fv,f_minus_g_mean_fv
2026-04-21T03:45:22.828Z,1776743122828,1776743122828,0.499043,0.499452,0.877172,0.081925,0.499390,75581.24,75581.24,75581.32,0.530000,0.540000,0.460000,0.470000,877172,877,0.540000,-0.040957,,,-0.040610,,,-0.040548,,
2026-04-21T03:45:23.809Z,1776743123809,1776743123809,0.499043,0.499460,0.876191,0.079429,0.499395,75581.25,75581.25,75581.32,0.530000,0.540000,0.460000,0.470000,876191,876,0.540000,-0.040957,,,-0.040605,,,-0.040540,,
2026-04-21T03:45:24.475Z,1776743124475,1776743124475,0.499018,0.499460,0.875525,0.077009,0.499395,75581.25,75581.25,75581.32,0.530000,0.540000,0.460000,0.470000,875525,876,0.540000,-0.040982,,,-0.040605,,,-0.040540,,
2026-04-21T03:45:25.115Z,1776743125115,1776743125115,0.499018,0.499460,0.874885,0.077009,0.499395,75581.25,75581.25,75581.32,0.530000,0.550000,0.450000,0.470000,874885,875,0.550000,-0.050982,,,-0.050605,,,-0.050540,,
2026-04-21T03:45:25.132Z,1776743125132,1776743125132,0.499018,0.499460,0.874868,0.077009,0.499395,75581.25,75581.25,75581.32,0.530000,0.560000,0.440000,0.470000,874868,875,0.560000,-0.060982,-0.046972,-0.014010,-0.060605,-0.046606,-0.013999,-0.060540,-0.046542,-0.013998
2026-04-21T03:45:25.181Z,1776743125181,1776743125181,0.498992,0.499459,0.874819,0.074663,0.499395,75581.25,75581.25,75581.32,0.530000,0.560000,0.440000,0.470000,874819,875,0.560000,-0.061008,-0.050982,-0.010026,-0.060605,-0.050605,-0.010000,-0.060541,-0.050540,-0.010000
2026-04-21T03:45:25.199Z,1776743125199,1776743125199,0.498992,0.499459,0.874801,0.074663,0.499395,75581.25,75581.25,75581.32,0.550000,0.560000,0.440000,0.450000,874801,875,0.560000,-0.061008,-0.054992,-0.006016,-0.060605,-0.054605,-0.006000,-0.060541,-0.054541,-0.006000
2026-04-21T03:45:25.252Z,1776743125252,1776743125252,0.498992,0.499459,0.874748,0.074663,0.499395,75581.25,75581.25,75581.32,0.550000,0.580000,0.420000,0.450000,874748,875,0.580000,-0.081008,-0.062998,-0.018010,-0.080605,-0.062605,-0.018000,-0.080541,-0.062541,-0.018000
2026-04-21T03:45:25.504Z,1776743125504,1776743125504,0.498992,0.499459,0.874496,0.074663,0.499395,75581.25,75581.25,75581.32,0.570000,0.580000,0.420000,0.430000,874496,874,0.580000,-0.081008,-0.069003,-0.012005,-0.080605,-0.068605,-0.012000,-0.080541,-0.068541,-0.012000
2026-04-21T03:45:26.843Z,1776743126843,1776743126843,0.532665,0.511494,0.873157,0.091252,0.506728,75584.30,75584.30,75581.32,0.570000,0.580000,0.420000,0.430000,873157,873,0.580000,-0.047335,-0.066273,0.018938,-0.073272,-0.071138,-0.002134,-0.068506,-0.070134,0.001628
