iso_time,chainlink_ts,binance_ts,binance_redis_ts,fair_value_redis_ts,time_to_expiry_ms,time_to_expiry_sec,strike_price,chainlink_price,binance_btcusdc_price,annualized_sigma_5m,annualized_sigma_10m,fair_value_sigma_5m,fair_value_sigma_10m,fair_value_deribit_iv,yes_bid,yes_ask,yes_execution_side,yes_exec_price_raw,yes_exec_price_fee_adj,taker_fee_rate,no_bid,no_ask,f_sigma_5m,g_sigma_5m,f_minus_g_sigma_5m,trade_signal_sigma_5m,f_sigma_10m,g_sigma_10m,f_minus_g_sigma_10m,trade_signal_sigma_10m,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,trade_signal_deribit_iv
2026-05-10T15:30:44.435Z,1778427043000,1778427044373,1778427044435,1778427044435,855565,856,80948.85,80953.41,80967.07,0.206014,0.154557,0.582814,0.609887,0.511719,0.510000,0.520000,buy,0.520000,0.529360,0.018000,0.480000,0.490000,0.053454,,,0,0.080527,,,0,0.010899,,,0
2026-05-10T15:30:46.724Z,1778427045000,1778427046417,1778427046724,1778427046724,853276,853,80948.85,80953.83,80988.29,0.206014,0.154557,0.675096,0.727578,0.512851,0.530000,0.610000,buy,0.610000,0.620980,0.018000,0.390000,0.470000,0.054116,,,0,0.106598,,,0,-0.007609,,,0
2026-05-10T15:30:47.510Z,1778427046000,1778427047431,1778427047510,1778427047510,852490,852,80948.85,80958.79,80988.29,0.206014,0.154557,0.675172,0.727670,0.525996,0.560000,0.650000,buy,0.650000,0.661700,0.018000,0.350000,0.440000,0.013472,,,0,0.065970,,,0,-0.023924,,,0
2026-05-10T15:30:47.878Z,1778427046000,1778427047431,1778427047878,1778427047878,852122,852,80948.85,80958.79,80988.29,0.206014,0.154557,0.675207,0.727714,0.526002,0.560000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.440000,0.064407,,,0,0.116914,,,0,-0.023918,,,0
2026-05-10T15:30:47.967Z,1778427047000,1778427047431,1778427047967,1778427047967,852033,852,80948.85,80968.01,80988.29,0.206014,0.154557,0.675216,0.727724,0.550372,0.560000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.440000,0.064416,,,0,0.116924,,,0,0.000452,,,0
2026-05-10T15:30:48.031Z,1778427047000,1778427047431,1778427048031,1778427048031,851969,852,80948.85,80968.01,80988.29,0.206014,0.154557,0.675222,0.727732,0.550373,0.570000,0.600000,buy,0.600000,0.610800,0.018000,0.400000,0.430000,0.064422,,,0,0.116932,,,0,-0.009367,,,0
2026-05-10T15:30:48.085Z,1778427047000,1778427047431,1778427048085,1778427048085,851915,852,80948.85,80968.01,80988.29,0.206014,0.154557,0.675227,0.727738,0.550375,0.570000,0.630000,buy,0.630000,0.641340,0.018000,0.370000,0.430000,0.033887,,,0,0.086398,,,0,-0.009365,,,0
2026-05-10T15:30:48.381Z,1778427047000,1778427047431,1778427048381,1778427048381,851619,852,80948.85,80968.01,80988.29,0.206014,0.154557,0.675256,0.727773,0.550384,0.600000,0.630000,buy,0.630000,0.641340,0.018000,0.370000,0.400000,0.033916,,,0,0.086433,,,0,-0.038816,,,0
2026-05-10T15:30:48.574Z,1778427047000,1778427048426,1778427048574,1778427048574,851426,851,80948.85,80968.01,80988.29,0.206014,0.154557,0.675274,0.727796,0.550390,0.610000,0.630000,buy,0.630000,0.641340,0.018000,0.370000,0.390000,0.033934,,,0,0.086456,,,0,-0.048630,,,0
2026-05-10T15:30:48.656Z,1778427047000,1778427048426,1778427048656,1778427048656,851344,851,80948.85,80968.01,80988.29,0.206014,0.154557,0.675282,0.727806,0.550392,0.610000,0.620000,buy,0.620000,0.631160,0.018000,0.380000,0.390000,0.044122,,,0,0.096646,,,0,-0.048628,,,0
