iso_time,ts,published_at,chainlink_ts,binance_ts,fair_value,fair_value_sigma_1m,fair_value_sigma_5m,fair_value_blended_sigma,confidence,annualized_sigma,annualized_sigma_1m,annualized_sigma_5m,fair_value_deribit_iv,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,f_mean_fv,g_mean_fv,f_minus_g_mean_fv
2026-04-24T04:00:03.885Z,1777003203885,1777003203885,1777003202000,1777003203410,0.466321,0.493132,0.491290,0.485974,0.896115,0.101053,0.539622,0.410522,0.490928,77751.88,77766.15,77755.41,0.490000,0.500000,0.500000,0.510000,896115,896,0.500000,-0.033679,,,-0.009072,,,-0.014026,,
2026-04-24T04:00:04.267Z,1777003204267,1777003204267,1777003203000,1777003203410,0.453977,0.490853,0.488294,0.480972,0.895733,0.100547,0.539622,0.410522,0.487793,77750.61,77766.15,77755.41,0.490000,0.500000,0.500000,0.510000,895733,896,0.500000,-0.046023,,,-0.012207,,,-0.019028,,
2026-04-24T04:00:05.280Z,1777003205280,1777003205280,1777003204000,1777003204383,0.440984,0.488428,0.485108,0.475663,0.894720,0.100392,0.539622,0.410522,0.484460,77749.25,77761.17,77755.41,0.490000,0.500000,0.500000,0.510000,894720,895,0.500000,-0.059016,,,-0.015540,,,-0.024337,,
2026-04-24T04:00:05.931Z,1777003205931,1777003205931,1777003205000,1777003205405,0.427739,0.485926,0.481819,0.470194,0.894069,0.100436,0.539622,0.410522,0.481020,77747.85,77761.17,77755.41,0.490000,0.500000,0.500000,0.510000,894069,894,0.500000,-0.072261,,,-0.018980,,,-0.029806,,
2026-04-24T04:00:07.306Z,1777003207306,1777003207306,1777003205000,1777003206416,0.427684,0.485916,0.481806,0.470171,0.892694,0.100436,0.539622,0.410522,0.481006,77747.85,77761.17,77755.41,0.490000,0.510000,0.490000,0.510000,892694,893,0.510000,-0.082316,,,-0.028994,,,-0.039829,,
2026-04-24T04:00:07.358Z,1777003207358,1777003207358,1777003205000,1777003207394,0.427682,0.485915,0.481806,0.470171,0.892642,0.100436,0.539622,0.410522,0.481005,77747.85,77776.24,77755.41,0.500000,0.510000,0.490000,0.500000,892642,893,0.510000,-0.082318,,,-0.028995,,,-0.039829,,
2026-04-24T04:00:07.439Z,1777003207439,1777003207439,1777003205000,1777003207394,0.427678,0.485915,0.481805,0.470169,0.892561,0.100436,0.539622,0.410522,0.481004,77747.85,77776.24,77755.41,0.500000,0.520000,0.480000,0.500000,892561,893,0.520000,-0.092322,,,-0.038996,,,-0.049831,,
2026-04-24T04:00:07.609Z,1777003207609,1777003207609,1777003206000,1777003207394,0.409957,0.481472,0.475969,0.460969,0.892391,0.106854,0.539622,0.410522,0.474899,77745.36,77776.24,77755.41,0.500000,0.520000,0.480000,0.500000,892391,892,0.520000,-0.110043,,,-0.045101,,,-0.059031,,
2026-04-24T04:00:07.847Z,1777003207847,1777003207847,1777003206000,1777003207394,0.409945,0.481470,0.475965,0.460964,0.892153,0.106854,0.539622,0.410522,0.474896,77745.36,77776.24,77755.41,0.510000,0.520000,0.480000,0.490000,892153,892,0.520000,-0.110055,,,-0.045104,,,-0.059036,,
2026-04-24T04:00:08.291Z,1777003208291,1777003208291,1777003207000,1777003207394,0.405300,0.481089,0.475465,0.459891,0.891709,0.103666,0.539622,0.410522,0.474372,77745.15,77776.24,77755.41,0.510000,0.520000,0.480000,0.490000,891709,892,0.520000,-0.114700,,,-0.045628,,,-0.060109,,
2026-04-24T04:00:08.625Z,1777003208625,1777003208625,1777003207000,1777003208430,0.405283,0.481085,0.475460,0.459884,0.891375,0.103666,0.539622,0.410522,0.474368,77745.15,77765.49,77755.41,0.490000,0.500000,0.500000,0.510000,891375,891,0.500000,-0.094717,-0.080273,-0.014444,-0.025632,-0.028862,0.003229,-0.040116,-0.039486,-0.000630
2026-04-24T04:00:08.668Z,1777003208668,1777003208668,1777003207000,1777003208430,0.405280,0.481085,0.475460,0.459883,0.891332,0.103666,0.539622,0.410522,0.474367,77745.15,77765.49,77755.41,0.480000,0.500000,0.500000,0.520000,891332,891,0.500000,-0.094720,-0.086377,-0.008342,-0.025633,-0.030518,0.004885,-0.040117,-0.042095,0.001978
2026-04-24T04:00:08.683Z,1777003208683,1777003208683,1777003207000,1777003208430,0.405280,0.481085,0.475460,0.459883,0.891317,0.103666,0.539622,0.410522,0.474367,77745.15,77765.49,77755.41,0.480000,0.490000,0.510000,0.520000,891317,891,0.490000,-0.084720,-0.091247,0.006527,-0.015633,-0.031860,0.016227,-0.030117,-0.044204,0.014087
2026-04-24T04:00:08.704Z,1777003208704,1777003208704,1777003207000,1777003208430,0.405278,0.481085,0.475459,0.459882,0.891296,0.103666,0.539622,0.410522,0.474367,77745.15,77765.49,77755.41,0.470000,0.490000,0.510000,0.530000,891296,891,0.490000,-0.084722,-0.093817,0.009096,-0.015633,-0.031869,0.016236,-0.030118,-0.044782,0.014664
2026-04-24T04:00:09.183Z,1777003209183,1777003209183,1777003207000,1777003208430,0.405254,0.481080,0.475453,0.459872,0.890817,0.103666,0.539622,0.410522,0.474360,77745.15,77765.49,77755.41,0.470000,0.480000,0.520000,0.530000,890817,891,0.480000,-0.074746,-0.095063,0.020317,-0.005640,-0.031535,0.025895,-0.020128,-0.044813,0.024685
2026-04-24T04:00:09.758Z,1777003209758,1777003209758,1777003208000,1777003209371,0.500792,0.499825,0.500087,0.500390,0.890242,0.210921,0.539622,0.410522,0.500130,77755.63,77765.49,77755.41,0.470000,0.480000,0.520000,0.530000,890242,890,0.480000,0.020792,-0.094306,0.115098,0.020130,-0.029199,0.049329,0.020390,-0.042843,0.063233
2026-04-24T04:00:09.857Z,1777003209857,1777003209857,1777003208000,1777003209371,0.500792,0.499825,0.500087,0.500390,0.890143,0.210921,0.539622,0.410522,0.500130,77755.63,77765.49,77755.41,0.460000,0.480000,0.520000,0.540000,890143,890,0.480000,0.020792,-0.083995,0.104787,0.020130,-0.024287,0.044417,0.020390,-0.036821,0.057211
