iso_time,chainlink_ts,binance_ts,binance_redis_ts,fair_value_redis_ts,time_to_expiry_ms,time_to_expiry_sec,strike_price,chainlink_price,binance_btcusdc_price,annualized_sigma_5m,annualized_sigma_10m,fair_value_sigma_5m,fair_value_sigma_10m,fair_value_deribit_iv,yes_bid,yes_ask,yes_execution_side,yes_exec_price_raw,yes_exec_price_fee_adj,taker_fee_rate,no_bid,no_ask,f_sigma_5m,g_sigma_5m,f_minus_g_sigma_5m,trade_signal_sigma_5m,f_sigma_10m,g_sigma_10m,f_minus_g_sigma_10m,trade_signal_sigma_10m,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,trade_signal_deribit_iv
2026-05-11T00:30:06.211Z,1778459405000,1778459405394,1778459406211,1778459406211,893789,894,81664.46,81664.30,81684.33,0.572341,0.578031,0.531224,0.530905,0.499227,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,-0.008316,,,0,-0.008635,,,0,-0.011413,,,0
2026-05-11T00:30:07.167Z,1778459406000,1778459406404,1778459407167,1778459407167,892833,893,81664.46,81664.30,81684.33,0.572341,0.578031,0.531241,0.530923,0.499227,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,-0.008299,,,0,-0.008617,,,0,-0.011413,,,0
2026-05-11T00:30:08.232Z,1778459407000,1778459407384,1778459408232,1778459408232,891768,892,81664.46,81664.29,81684.33,0.572341,0.578031,0.531261,0.530942,0.499192,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,-0.008279,,,0,-0.008598,,,0,-0.011448,,,0
2026-05-11T00:30:09.583Z,1778459408000,1778459409430,1778459409583,1778459409583,890417,890,81664.46,81666.49,81684.33,0.572341,0.578031,0.531285,0.530966,0.504782,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,-0.008255,,,0,-0.008574,,,0,-0.005858,,,0
2026-05-11T00:30:10.216Z,1778459409000,1778459409430,1778459410216,1778459410216,889784,890,81664.46,81665.77,81684.33,0.572341,0.578031,0.531297,0.530977,0.502958,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,-0.008243,,,0,-0.008563,,,0,-0.007682,,,0
2026-05-11T00:30:11.554Z,1778459410000,1778459411431,1778459411554,1778459411554,888446,888,81664.46,81665.71,81682.86,0.572341,0.578031,0.528965,0.528668,0.502790,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,-0.010575,,,0,-0.010872,,,0,-0.007850,,,0
2026-05-11T00:30:12.135Z,1778459411000,1778459411431,1778459412135,1778459412135,887865,888,81664.46,81665.71,81682.86,0.572341,0.578031,0.528975,0.528678,0.502793,0.500000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.500000,-0.010565,,,0,-0.010862,,,0,0.011793,,,0
2026-05-11T00:30:13.290Z,1778459412000,1778459412408,1778459413290,1778459413290,886710,887,81664.46,81661.94,81682.86,0.572341,0.578031,0.528994,0.528697,0.493210,0.500000,0.510000,buy,0.510000,0.519180,0.018000,0.490000,0.500000,0.009814,,,0,0.009517,,,0,0.002210,,,0
2026-05-11T00:30:13.988Z,1778459412000,1778459413412,1778459413988,1778459413988,886012,886,81664.46,81661.94,81668.49,0.572341,0.578031,0.505879,0.505809,0.493208,0.470000,0.480000,buy,0.480000,0.488640,0.018000,0.520000,0.530000,0.017239,,,0,0.017169,,,0,0.004568,,,0
2026-05-11T00:30:14.745Z,1778459413000,1778459414429,1778459414745,1778459414745,885255,885,81664.46,81665.56,81667.21,0.572341,0.578031,0.503836,0.503786,0.502417,0.460000,0.480000,buy,0.480000,0.488640,0.018000,0.520000,0.540000,0.015196,,,0,0.015146,,,0,0.013777,,,0
