iso_time,ts,published_at,fair_value,fair_value_blended_sigma,confidence,annualized_sigma,fair_value_deribit_iv,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,f_mean_fv,g_mean_fv,f_minus_g_mean_fv
2026-04-22T04:36:34.666Z,1776832594666,1776832594666,0.682314,0.583989,0.505334,0.117380,0.554173,77540.92,77554.21,77523.64,0.560000,0.580000,0.420000,0.440000,505334,505,0.580000,0.102314,0.085045,0.017268,-0.025827,-0.031651,0.005824,0.003989,-0.004231,0.008220
2026-04-22T04:36:34.749Z,1776832594749,1776832594749,0.682328,0.583996,0.505251,0.117380,0.554177,77540.92,77554.21,77523.64,0.570000,0.580000,0.420000,0.430000,505251,505,0.580000,0.102328,0.088027,0.014301,-0.025823,-0.030968,0.005146,0.003996,-0.003092,0.007088
2026-04-22T04:36:35.127Z,1776832595127,1776832595127,0.685843,0.583734,0.504873,0.113848,0.553641,77540.75,77554.21,77523.64,0.570000,0.580000,0.420000,0.430000,504873,505,0.580000,0.105843,0.091095,0.014749,-0.026359,-0.030127,0.003768,0.003734,-0.001757,0.005491
2026-04-22T04:36:35.309Z,1776832595309,1776832595309,0.685874,0.583749,0.504691,0.113848,0.553651,77540.75,77554.21,77523.64,0.570000,0.590000,0.410000,0.430000,504691,505,0.590000,0.095874,0.093804,0.002070,-0.036349,-0.029422,-0.006927,-0.006251,-0.000624,-0.005627
2026-04-22T04:36:35.320Z,1776832595320,1776832595320,0.685876,0.583750,0.504680,0.113848,0.553652,77540.75,77554.21,77523.64,0.570000,0.580000,0.420000,0.430000,504680,505,0.580000,0.105876,0.096515,0.009361,-0.026348,-0.028717,0.002369,0.003750,0.000508,0.003242
2026-04-22T04:36:36.225Z,1776832596225,1776832596225,0.671182,0.576581,0.503775,0.113554,0.548979,77539.24,77554.21,77523.64,0.570000,0.580000,0.420000,0.430000,503775,504,0.580000,0.091182,0.100222,-0.009040,-0.031021,-0.027013,-0.004007,-0.003419,0.002639,-0.006059
2026-04-22T04:36:37.370Z,1776832597370,1776832597370,0.674036,0.576118,0.502630,0.110160,0.548361,77539.03,77554.21,77523.64,0.570000,0.580000,0.420000,0.430000,502630,503,0.580000,0.094036,0.100647,-0.006611,-0.031639,-0.026526,-0.005113,-0.003882,0.002967,-0.006849
2026-04-22T04:36:38.300Z,1776832598300,1776832598300,0.664981,0.571099,0.501700,0.108517,0.544994,77537.95,77554.21,77523.64,0.570000,0.580000,0.420000,0.430000,501700,502,0.580000,0.084981,0.101357,-0.016376,-0.035006,-0.026101,-0.008905,-0.008901,0.003248,-0.012149
2026-04-22T04:36:38.859Z,1776832598859,1776832598859,0.667047,0.570357,0.501141,0.105302,0.544240,77537.70,77554.21,77523.64,0.570000,0.580000,0.420000,0.430000,501141,501,0.580000,0.087047,0.100160,-0.013114,-0.035760,-0.027012,-0.008748,-0.009643,0.002027,-0.011670
2026-04-22T04:36:40.425Z,1776832600425,1776832600425,0.672093,0.570854,0.499575,0.102095,0.544275,77537.69,77554.21,77523.64,0.570000,0.580000,0.420000,0.430000,499575,500,0.580000,0.092093,0.098169,-0.006076,-0.035725,-0.028999,-0.006726,-0.009146,-0.000269,-0.008877
2026-04-22T04:36:40.917Z,1776832600917,1776832600917,0.677222,0.571323,0.499083,0.098984,0.544297,77537.69,77554.21,77523.64,0.570000,0.580000,0.420000,0.430000,499083,499,0.580000,0.097222,0.096157,0.001064,-0.035703,-0.030986,-0.004717,-0.008677,-0.002577,-0.006100
2026-04-22T04:36:41.916Z,1776832601916,1776832601916,0.693980,0.579223,0.498084,0.100018,0.549366,77539.28,77554.21,77523.64,0.570000,0.580000,0.420000,0.430000,498084,498,0.580000,0.113980,0.095648,0.018332,-0.030634,-0.031973,0.001339,-0.000777,-0.003844,0.003067
