iso_time,chainlink_ts,binance_ts,binance_redis_ts,fair_value_redis_ts,time_to_expiry_ms,time_to_expiry_sec,strike_price,chainlink_price,binance_btcusdc_price,annualized_sigma_5m,annualized_sigma_10m,fair_value_sigma_5m,fair_value_sigma_10m,fair_value_deribit_iv,yes_bid,yes_ask,yes_execution_side,yes_exec_price_raw,yes_exec_price_fee_adj,taker_fee_rate,no_bid,no_ask,f_sigma_5m,g_sigma_5m,f_minus_g_sigma_5m,trade_signal_sigma_5m,f_sigma_10m,g_sigma_10m,f_minus_g_sigma_10m,trade_signal_sigma_10m,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,trade_signal_deribit_iv
2026-05-09T17:00:52.720Z,1778346051000,1778346051361,1778346052720,1778346052720,847280,847,80608.22,80623.24,80635.21,0.154494,0.125637,0.661885,0.696269,0.540510,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,0.122345,,,0,0.156729,,,0,0.000970,,,0
2026-05-09T17:00:53.571Z,1778346052000,1778346051361,1778346053571,1778346053571,846429,846,80608.22,80623.14,80635.21,0.154494,0.125637,0.661962,0.696359,0.540282,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,0.122422,,,0,0.156819,,,0,0.000742,,,0
2026-05-09T17:00:54.079Z,1778346053000,1778346051361,1778346054079,1778346054079,845921,846,80608.22,80623.14,80635.21,0.154494,0.125637,0.662008,0.696414,0.540297,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,0.122468,,,0,0.156874,,,0,0.000757,,,0
2026-05-09T17:00:55.366Z,1778346054000,1778346051361,1778346055366,1778346055366,844634,845,80608.22,80623.64,80635.21,0.154494,0.125637,0.662125,0.696551,0.541673,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,0.122585,,,0,0.157011,,,0,0.002133,,,0
2026-05-09T17:00:56.591Z,1778346055000,1778346056382,1778346056591,1778346056591,843409,843,80608.22,80623.27,80635.21,0.154494,0.125637,0.662236,0.696681,0.540710,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,0.122696,,,0,0.157141,,,0,0.001170,,,0
2026-05-09T17:00:57.086Z,1778346056000,1778346056382,1778346057086,1778346057086,842914,843,80608.22,80623.27,80635.21,0.154494,0.125637,0.662281,0.696734,0.540724,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,0.122741,,,0,0.157194,,,0,0.001184,,,0
2026-05-09T17:00:58.169Z,1778346057000,1778346057408,1778346058169,1778346058169,841831,842,80608.22,80623.81,80635.21,0.154494,0.125637,0.662379,0.696850,0.542205,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,0.122839,,,0,0.157310,,,0,0.002665,,,0
2026-05-09T17:00:59.280Z,1778346058000,1778346057408,1778346059280,1778346059280,840720,841,80608.22,80623.86,80635.21,0.154494,0.125637,0.662481,0.696969,0.542370,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,0.122941,,,0,0.157429,,,0,0.002830,,,0
2026-05-09T17:01:00.163Z,1778346059000,1778346059401,1778346060163,1778346060163,839837,840,80608.22,80623.86,80635.21,0.154494,0.125637,0.662561,0.697064,0.542395,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,0.123021,,,0,0.157524,,,0,0.002855,,,0
2026-05-09T17:01:01.209Z,1778346060000,1778346060406,1778346061209,1778346061209,838791,839,80608.22,80623.88,80637.49,0.154494,0.125637,0.675578,0.712303,0.542473,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,0.136038,,,0,0.172763,,,0,0.002933,,,0
2026-05-09T17:01:02.265Z,1778346061000,1778346061349,1778346062265,1778346062265,837735,838,80608.22,80625.37,80637.49,0.154494,0.125637,0.675681,0.712424,0.546573,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,0.136141,0.124010,0.012132,0,0.172884,0.158679,0.014204,0,0.007033,0.001824,0.005209,0
2026-05-09T17:01:03.170Z,1778346062000,1778346062422,1778346063170,1778346063170,836830,837,80608.22,80625.21,80637.49,0.154494,0.125637,0.675770,0.712527,0.546154,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,0.136230,0.125389,0.010841,0,0.172987,0.160295,0.012692,0,0.006614,0.002430,0.004184,0
2026-05-09T17:01:04.100Z,1778346063000,1778346063083,1778346064100,1778346064100,835900,836,80608.22,80625.50,80637.49,0.154494,0.125637,0.675861,0.712633,0.546955,0.520000,0.530000,buy,0.530000,0.539540,0.018000,0.470000,0.480000,0.136321,0.126770,0.009551,0,0.173093,0.161912,0.011182,0,0.007415,0.003017,0.004398,0
