iso_time,ts,published_at,fair_value,confidence,sigma,annualized_sigma,fair_value_deribit_iv,chainlink_price,btc_price,strike_price,yes_bid,yes_ask,no_bid,no_ask,time_to_expiry_ms,time_to_expiry_sec,yes_token_price,f,g,f_minus_g
2026-04-20T06:30:35.251Z,1776666635251,1776666635251,0.746953,0.864749,0.000063,0.354687,0.711176,74458.95,74458.95,74366.92,0.780000,0.790000,0.210000,0.220000,864749,865,0.790000,-0.043047,,
2026-04-20T06:30:36.123Z,1776666636123,1776666636123,0.756217,0.863877,0.000061,0.344706,0.713937,74460.24,74460.24,74366.92,0.780000,0.790000,0.210000,0.220000,863877,864,0.790000,-0.033783,,
2026-04-20T06:30:37.258Z,1776666637258,1776666637258,0.764002,0.862742,0.000060,0.334276,0.714832,74460.61,74460.61,74366.92,0.780000,0.790000,0.210000,0.220000,862742,863,0.790000,-0.025998,,
2026-04-20T06:30:38.155Z,1776666638155,1776666638155,0.772235,0.861845,0.000058,0.324248,0.716052,74461.15,74461.15,74366.92,0.780000,0.790000,0.210000,0.220000,861845,862,0.790000,-0.017765,,
2026-04-20T06:30:39.231Z,1776666639231,1776666639231,0.772794,0.860769,0.000056,0.316635,0.711949,74459.11,74459.11,74366.92,0.780000,0.790000,0.210000,0.220000,860769,861,0.790000,-0.017206,-0.027560,0.010354
2026-04-20T06:30:39.341Z,1776666639341,1776666639341,0.772808,0.860659,0.000056,0.316635,0.711961,74459.11,74459.11,74366.92,0.770000,0.780000,0.220000,0.230000,860659,861,0.780000,-0.007192,-0.020389,0.013197
2026-04-20T06:30:39.508Z,1776666639508,1776666639508,0.772830,0.860492,0.000056,0.316635,0.711980,74459.11,74459.11,74366.92,0.760000,0.780000,0.220000,0.240000,860492,860,0.780000,-0.007170,-0.015066,0.007896
2026-04-20T06:30:39.769Z,1776666639769,1776666639769,0.772864,0.860231,0.000056,0.316635,0.712009,74459.11,74459.11,74366.92,0.760000,0.770000,0.230000,0.240000,860231,860,0.770000,0.002864,-0.009294,0.012158
2026-04-20T06:30:40.194Z,1776666640194,1776666640194,0.781216,0.859806,0.000055,0.307162,0.713212,74459.67,74459.67,74366.92,0.760000,0.770000,0.230000,0.240000,859806,860,0.770000,0.011216,-0.003498,0.014713
2026-04-20T06:30:41.147Z,1776666641147,1776666641147,0.784874,0.858853,0.000053,0.298614,0.710851,74458.48,74458.48,74366.92,0.760000,0.770000,0.230000,0.240000,858853,859,0.770000,0.014874,0.002918,0.011956
2026-04-20T06:30:42.075Z,1776666642075,1776666642075,0.787085,0.857925,0.000052,0.290931,0.707722,74456.93,74456.93,74366.92,0.760000,0.770000,0.230000,0.240000,857925,858,0.770000,0.017085,0.007774,0.009311
2026-04-20T06:30:43.726Z,1776666643726,1776666643726,0.797668,0.856274,0.000051,0.288178,0.714549,74460.12,74460.12,74366.92,0.760000,0.770000,0.230000,0.240000,856274,856,0.770000,0.027668,0.014741,0.012927
2026-04-20T06:30:44.040Z,1776666644040,1776666644040,0.805085,0.855960,0.000050,0.279400,0.714633,74460.14,74460.14,74366.92,0.760000,0.770000,0.230000,0.240000,855960,856,0.770000,0.035085,0.021185,0.013899
2026-04-20T06:30:45.025Z,1776666645025,1776666645025,0.812821,0.854975,0.000048,0.270893,0.714931,74460.23,74460.23,74366.92,0.760000,0.770000,0.230000,0.240000,854975,855,0.770000,0.042821,0.027507,0.015315
2026-04-20T06:30:45.989Z,1776666645989,1776666645989,0.822013,0.854011,0.000047,0.263031,0.716644,74461.01,74461.01,74366.92,0.760000,0.770000,0.230000,0.240000,854011,854,0.770000,0.052013,0.034934,0.017079
2026-04-20T06:30:47.001Z,1776666647001,1776666647001,0.831354,0.852999,0.000046,0.255515,0.718536,74461.87,74461.87,74366.92,0.760000,0.770000,0.230000,0.240000,852999,853,0.770000,0.061354,0.043788,0.017566
2026-04-20T06:30:48.683Z,1776666648683,1776666648683,0.837063,0.851317,0.000044,0.248041,0.717344,74461.20,74461.20,74366.92,0.760000,0.770000,0.230000,0.240000,851317,851,0.770000,0.067063,0.051667,0.015395
2026-04-20T06:30:49.361Z,1776666649361,1776666649361,0.844654,0.850639,0.000043,0.240485,0.717422,74461.20,74461.20,74366.92,0.760000,0.770000,0.230000,0.240000,850639,851,0.770000,0.074654,0.059581,0.015073
2026-04-20T06:30:49.957Z,1776666649957,1776666649957,0.853563,0.850043,0.000042,0.233467,0.718829,74461.85,74461.85,74366.92,0.760000,0.770000,0.230000,0.240000,850043,850,0.770000,0.083563,0.067729,0.015834
2026-04-20T06:30:51.087Z,1776666651087,1776666651087,0.858142,0.848913,0.000040,0.226999,0.717048,74460.92,74460.92,74366.92,0.760000,0.770000,0.230000,0.240000,848913,849,0.770000,0.088142,0.074955,0.013187
2026-04-20T06:30:52.278Z,1776666652278,1776666652278,0.864869,0.847722,0.000039,0.220159,0.716539,74460.61,74460.61,74366.92,0.760000,0.770000,0.230000,0.240000,847722,848,0.770000,0.094869,0.081658,0.013211
