iso_time,chainlink_ts,binance_ts,binance_redis_ts,fair_value_redis_ts,time_to_expiry_ms,time_to_expiry_sec,strike_price,chainlink_price,binance_btcusdc_price,annualized_sigma_5m,annualized_sigma_10m,fair_value_sigma_5m,fair_value_sigma_10m,fair_value_deribit_iv,yes_bid,yes_ask,yes_execution_side,yes_exec_price_raw,yes_exec_price_fee_adj,taker_fee_rate,no_bid,no_ask,f_sigma_5m,g_sigma_5m,f_minus_g_sigma_5m,trade_signal_sigma_5m,f_sigma_10m,g_sigma_10m,f_minus_g_sigma_10m,trade_signal_sigma_10m,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,trade_signal_deribit_iv
2026-05-12T13:45:38.985Z,1778593537000,1778593538428,1778593538985,1778593538985,861015,861,80745.37,80846.21,80854.61,0.260468,2.093500,0.839561,0.547013,0.743038,0.690000,0.710000,buy,0.710000,0.722780,0.018000,0.290000,0.310000,0.116781,,,0,-0.130567,,,0,0.020258,,,0
2026-05-12T13:45:39.186Z,1778593538000,1778593538428,1778593539186,1778593539186,860814,861,80745.37,80843.29,80854.61,0.260468,2.093500,0.839589,0.547019,0.736920,0.690000,0.710000,buy,0.710000,0.722780,0.018000,0.290000,0.310000,0.116809,,,0,-0.130561,,,0,0.014140,,,0
2026-05-12T13:45:39.313Z,1778593538000,1778593538428,1778593539313,1778593539313,860687,861,80745.37,80843.29,80854.61,0.260468,2.093500,0.839607,0.547023,0.736935,0.690000,0.700000,buy,0.700000,0.712600,0.018000,0.300000,0.310000,0.127007,,,0,-0.130557,,,0,0.024335,,,0
2026-05-12T13:45:40.394Z,1778593539000,1778593539429,1778593540394,1778593540394,859606,860,80745.37,80839.37,80854.61,0.260468,2.093500,0.839759,0.547055,0.728710,0.690000,0.700000,buy,0.700000,0.712600,0.018000,0.300000,0.310000,0.127159,,,0,-0.130525,,,0,0.016110,,,0
2026-05-12T13:45:40.703Z,1778593539000,1778593540411,1778593540703,1778593540703,859297,859,80745.37,80839.37,80854.61,0.260468,2.093500,0.839803,0.547064,0.728747,0.700000,0.710000,buy,0.710000,0.722780,0.018000,0.290000,0.300000,0.117023,,,0,-0.140336,,,0,0.005967,,,0
2026-05-12T13:45:41.739Z,1778593540000,1778593541420,1778593541739,1778593541739,858261,858,80745.37,80837.26,80854.61,0.260468,2.093500,0.839949,0.547095,0.724320,0.700000,0.710000,buy,0.710000,0.722780,0.018000,0.290000,0.300000,0.117169,,,0,-0.140305,,,0,0.001540,,,0
2026-05-12T13:45:42.234Z,1778593541000,1778593541420,1778593542234,1778593542234,857766,858,80745.37,80839.43,80854.61,0.260468,2.093500,0.840019,0.547110,0.729066,0.710000,0.730000,buy,0.730000,0.743140,0.018000,0.270000,0.290000,0.096879,,,0,-0.150110,,,0,-0.014074,,,0
2026-05-12T13:45:42.279Z,1778593541000,1778593541420,1778593542279,1778593542279,857721,858,80745.37,80839.43,80854.61,0.260468,2.093500,0.840025,0.547111,0.729071,0.720000,0.730000,buy,0.730000,0.743140,0.018000,0.270000,0.280000,0.096885,,,0,-0.159929,,,0,-0.014069,,,0
2026-05-12T13:45:43.564Z,1778593542000,1778593543425,1778593543564,1778593543564,856436,856,80745.37,80842.81,80866.86,0.260468,2.093500,0.865855,0.552651,0.736434,0.720000,0.730000,buy,0.730000,0.743140,0.018000,0.270000,0.280000,0.122715,,,0,-0.154389,,,0,-0.006706,,,0
2026-05-12T13:45:44.207Z,1778593543000,1778593543425,1778593544207,1778593544207,855793,856,80745.37,80845.69,80866.86,0.260468,2.093500,0.865945,0.552672,0.742592,0.720000,0.730000,buy,0.730000,0.743140,0.018000,0.270000,0.280000,0.122805,,,0,-0.154368,,,0,-0.000548,,,0
