iso_time,chainlink_ts,binance_ts,binance_redis_ts,fair_value_redis_ts,time_to_expiry_ms,time_to_expiry_sec,strike_price,chainlink_price,binance_btcusdc_price,annualized_sigma_5m,annualized_sigma_10m,fair_value_sigma_5m,fair_value_sigma_10m,fair_value_deribit_iv,yes_bid,yes_ask,no_bid,no_ask,f_sigma_5m,g_sigma_5m,f_minus_g_sigma_5m,trade_signal_sigma_5m,f_sigma_10m,g_sigma_10m,f_minus_g_sigma_10m,trade_signal_sigma_10m,f_deribit_iv,g_deribit_iv,f_minus_g_deribit_iv,trade_signal_deribit_iv
2026-04-29T12:45:50.724Z,1777466749000,1777466750385,1777466750724,1777466750724,849276,849,77153.05,77179.20,77192.79,0.332468,0.213535,0.616971,0.678692,0.568608,0.590000,0.600000,0.400000,0.410000,0.016971,,,0,0.078692,,,0,-0.021392,,,0
2026-04-29T12:45:51.201Z,1777466750000,1777466750385,1777466751201,1777466751201,848799,849,77153.05,77179.20,77192.79,0.332468,0.213535,0.617003,0.678739,0.568627,0.590000,0.600000,0.400000,0.410000,0.017003,,,0,0.078739,,,0,-0.021373,,,0
2026-04-29T12:45:52.450Z,1777466751000,1777466751385,1777466752450,1777466752450,847550,848,77153.05,77179.16,77192.79,0.332468,0.213535,0.617087,0.678861,0.568590,0.590000,0.600000,0.400000,0.410000,0.017087,,,0,0.078861,,,0,-0.021410,,,0
2026-04-29T12:45:53.579Z,1777466752000,1777466753383,1777466753579,1777466753579,846421,846,77153.05,77179.52,77192.79,0.332468,0.213535,0.617163,0.678973,0.569566,0.580000,0.600000,0.400000,0.420000,0.017163,,,0,0.078973,,,0,-0.010434,,,0
2026-04-29T12:45:54.237Z,1777466753000,1777466753383,1777466754237,1777466754237,845763,846,77153.05,77179.52,77192.79,0.332468,0.213535,0.617208,0.679037,0.569595,0.580000,0.600000,0.400000,0.420000,0.017208,,,0,0.079037,,,0,-0.010405,,,0
2026-04-29T12:45:55.752Z,1777466754000,1777466755383,1777466755752,1777466755752,844248,844,77153.05,77179.23,77192.79,0.332468,0.213535,0.617310,0.679187,0.568914,0.580000,0.590000,0.410000,0.420000,0.027310,,,0,0.089187,,,0,-0.011086,,,0
2026-04-29T12:45:56.272Z,1777466755000,1777466755383,1777466756272,1777466756272,843728,844,77153.05,77179.22,77192.79,0.332468,0.213535,0.617346,0.679239,0.568891,0.580000,0.590000,0.410000,0.420000,0.027346,,,0,0.089239,,,0,-0.011109,,,0
2026-04-29T12:45:57.422Z,1777466756000,1777466756383,1777466757422,1777466757422,842578,843,77153.05,77179.00,77192.79,0.332468,0.213535,0.617424,0.679353,0.568377,0.580000,0.590000,0.410000,0.420000,0.027424,,,0,0.089353,,,0,-0.011623,,,0
2026-04-29T12:45:58.132Z,1777466757000,1777466757383,1777466758132,1777466758132,841868,842,77153.05,77179.04,77192.79,0.332468,0.213535,0.617472,0.679423,0.568512,0.580000,0.590000,0.410000,0.420000,0.027472,,,0,0.089423,,,0,-0.011488,,,0
2026-04-29T12:45:58.203Z,1777466757000,1777466757383,1777466758203,1777466758203,841797,842,77153.05,77179.04,77192.79,0.332468,0.213535,0.617477,0.679430,0.568515,0.570000,0.590000,0.410000,0.430000,0.027477,,,0,0.089430,,,0,-0.001485,,,0
2026-04-29T12:45:58.361Z,1777466757000,1777466757383,1777466758361,1777466758361,841639,842,77153.05,77179.04,77192.79,0.332468,0.213535,0.617488,0.679446,0.568522,0.560000,0.580000,0.420000,0.440000,0.037488,0.022246,0.015242,0,0.099446,0.084093,0.015352,0,0.008522,-0.013180,0.021702,0
2026-04-29T12:45:59.301Z,1777466758000,1777466758430,1777466759301,1777466759301,840699,841,77153.05,77179.01,77186.89,0.332468,0.213535,0.600457,0.654347,0.568474,0.560000,0.580000,0.420000,0.440000,0.020457,0.024298,-0.003841,0,0.074347,0.086169,-0.011822,0,0.008474,-0.010189,0.018663,0
